ID,URL,Recipe Name,Ingredients,Instructions,Processed Ingredients
2822ae91,https://sinfulnutrition.com/brownie-batter-peanut-butter-recipe/,Brownie Batter Peanut Butter,"1/2 cup natural peanut butter, 3 tbsp cocoa powder, 2 tsp stevia, 1/2 tsp espresso powder, 3-4 tbsp warm water","Combine all ingredients except water in a small bowl., Add water a tablespoon at a time until desired consistency., Serve with graham crackers, apple slices, bananas, etc., Store in refrigerator up to 1 week.","[('peanut butter', 0.5, 'cup'), ('cocoa powder', 3.0, 'tbsp'), ('stevia', 2.0, 'tsp'), ('espresso powder', 0.5, 'tsp'), ('warm water', 3.0, 'tbsp')]"
7e4e5dc2,http://www.fridaycakenight.com/2014/11/sinful-brownies/,Sinful brownies,"½ cup butter, 225 g chocolate chips. Roughly 1½ cups, 3 eggs, 1 cup sugar, 2 tsp vanilla, ½ cup flour, ½ tsp salt, ⅛ tsp baking powder, ⅛ tsp baking soda, m&m's for topping","Preheat the oven to 350 degrees and line an 8 inch baking pan with parchment paper., Melt the chocolate chips with the butter and set aside to cool., Whisk the eggs with the sugar and vanilla., Slowly incorporate the eggs with the cooled chocolate mixture. Tempering to avoid scrambled bits., Add the flour, salt, baking powder and baking soda., Pour the batter into the prepared baking dish., Bake for 30 minutes., Press m&m's on top of the brownies., Cool completely before slicing.","[('butter', 0.5, 'cup'), ('chocolate chips', 225.0, 'g'), ('eggs', 3.0, None), ('sugar', 1.0, 'cup'), ('vanilla', 2.0, 'tsp'), ('flour', 0.5, 'cup'), ('salt', 0.5, 'tsp'), ('baking powder', 0.125, 'tsp'), ('baking soda', 0.125, 'tsp')]"
062767b9,https://www.naivecookcooks.com/sinfully-fudgy-brownies/,Super Rich Sinfully Fudgy Brownies,"1 stick unsalted butter, 2 tbsp cocoa powder, ½ cup semi sweet chocolate chips, ½ cup white granulated sugar, ¼ cup brown sugar, ¼ tsp salt, 2 tsp vanilla extract, 2 eggs, ½ cup all purpose flour, ½ cup semi sweet chocolate chips","Preheat oven to 325F and move the rack in the center., Line a 7*7 inch baking pan with parchment paper or aluminium foil with a little overhang so it's easy to pull out the brownies once cooked. Grease it with little oil., In a bowl, add butter, both sugars, salt, cocoa powder and ½ cup semi sweet chocolate chips. Melt this mix over a bain marie basically just heat some water in a pot. Once it comes to boil, place the bowl with the above ingredients over it and continue to stir until it starts to all melt., Once it's hot and everything is melted, take it off the boiling water bath and keep aside. Let it cool for 3-5 minutes. Once warm, add eggs one at a time and stir. Add vanilla extract and all purpose flour and stir until it's all evenly mixed., Fold the remaining ½ cup semi sweet chocolate chips into the batter., Pour the batter into the prepared pan and bake for around 25 minutes. I suggest checking the batter at around 20 minutes by inserting a knife in the center. If it comes out really wet, keep baking for another 2-3 minutes. Check again and if its still little wet, bake for another 2 minutes. If it's almost dry with only few crumbs, take it out of the oven and let it cool completely., Once completely cooled, cut and enjoy.","[('butter', 1.0, 'stick'), ('cocoa powder', 2.0, 'tbsp'), ('chocolate chips', 0.5, 'cup'), ('sugar', 0.5, 'cup'), ('sugar', 0.25, 'cup'), ('salt', 0.25, 'tsp'), ('vanilla extract', 2.0, 'tsp'), ('eggs', 2.0, None), ('flour', 0.5, 'cup'), ('chocolate chips', 0.5, 'cup')]"
b0a52d05,https://leisurefanclub.com/sinful-fudgy-black-forest-brownies/,Sinful Fudgy Black Forest Brownies,"1 cup Cherries ((Pitted and quartered)), 3 tbsp Kirsch liqueur, 1 cup Butter ((Unsalted)), 9 oz Baking chocolate ((70%)), 1 cup Granulated sugar, 2/3 cup Light brown sugar, 4 Large eggs, 3/4 cup All purpose flour, 1/3 cup Dutch processed cocoa powder, 1/2 tsp Salt, 4 oz Cream cheese ((At room temperature))","Add the pitted and quartered cherries and 3 tbsp Kirsch to a small mixing bowl. Toss to coat and then let sit for at least 30 minues, tossing a few more times as you wait., Preheat the oven to 400° Fahrenheit. Line a 9"" square baking pan with parchment paper, then set to the side., Chop the baking chocolate and butter into chunks. Then using a double boiler, melt them together over medium heat, sritting every so often. Once the butter and baking chocolate are fully melted and combined, remove from heat and set aside to cool to room temperature.Note: if you don't have a double boiler you can make an impromptu version by placing a heat proof bowl over a pot of boiling water. Just make sure the water doesn't touch the bowl!, Whisk together 2/3 cup granulated sugar, 2/3 cup light brown sugar and 3 full eggs, along with 1 extra yolk (save the egg white for later) until it's light and creamy. I like to use my stand mixer for this but you can do it by hand., Add the chocolate sauce to the sugar and eggs and stir to combine., Gently mix in the cocoa powder, flour, and salt until just combined. Be careful not to overmix., Drain the cherries, reserving the extra liquid in the bowl for later. Then fold the cherries into the brownie batter. Pour the brownie batter into your prepared pan., Now make the cherry cream cheese topping. Add the reserved cherry liquid, cream cheese, egg white, and 1/3 cup granulated sugar to a food processor and blitz until smooth., Spoon cream cheese mixture onto the top of the brownie batter and use a toothpick to create swirls. Continue until you're satisfied with the swirly pattern on top. Pro tip: You can also use a spoon to create small indentations in the batter so that you can add bigger pools of cream cheese!, Bake for 23-25 minutes or until the middle is a little bit wobbly when you give it a jiggle. The brownies might seem underbaked, bu they'll firm up as they cool. Let them cool to about room temperature before cutting. Or spoon onto a plate and eat with ice cream immediately. Your choice!","[('cherries', 1.0, 'cup'), ('kirsch liqueur', 3.0, 'tbsp'), ('butter', 1.0, 'cup'), ('baking chocolate', 9.0, 'oz'), ('granulated sugar', 1.0, 'cup'), ('light brown sugar', 0.67, 'cup'), ('eggs', 4.0, None), ('all purpose flour', 0.75, 'cup'), ('dutch processed cocoa powder', 0.33, 'cup'), ('salt', 0.5, 'tsp'), ('cream cheese', 4.0, 'oz')]"
73d7e651,https://www.deepsouthdish.com/2011/03/chocolate-sin-better-than-sex-recipe-my.html,Chocolate Sin (Lush),"1/2 cup (1 stick) unsalted butter, softened at room temperature, 1 cup all-purpose flour, 1/4 cup finely minced, salted pecans, 1 (8 ounce) package cream cheese, softened at room temperature, 1 cup powdered sugar, 1 cup Cool Whip (or homemade stabilized whipped cream), 2 (3.9 ounce) packages instant chocolate pudding, 3 cups whole milk, 1-2 cups Cool Whip (or homemade stabilized whipped cream), Additional chopped pecans, for garnish, optional, Grated chocolate, miniature chocolate chips or Heath bits, for garnish, optional","Preheat oven to 350 degrees F., In a bowl, mix together the flour, pecans and butter until mixture resembles cookie dough. Spread into the bottom of a 9 x 13-inch glass Pyrex baking dish. Bake at 350 degrees F for about 20 minutes or until lightly browned. The crust will appear underdone but will continue cooking in the pan, and will firm up as it cools, so don't be tempted to keep cooking it. Cool completely, about an hour. If time permits, I like to chill each layer in the fridge before topping with the next., Mix together the cream cheese and powdered sugar until well blended. Add 1 cup of the Cool Whip and mix together. Spread this layer over the cooled crust., Mix together the two boxes of pudding with the 3 cups of milk until slightly thickened, about 3 minutes. Carefully spread over the cream cheese layer., Spread the remaining cup of whipped topping on top. Cover and refrigerate at least 4 hours - best if refrigerated 24 hours., Before serving, grate chocolate over the top and sprinkle with additional chopped nuts. Cut into squares.","[('butter', 1.0, 'cup'), ('flour', 1.0, 'cup'), ('pecans', 0.25, 'cup'), ('cream cheese', 8.0, 'ounce'), ('powdered sugar', 1.0, 'cup'), ('cool whip', 1.0, 'cup'), ('instant chocolate pudding', 2.0, 'packages'), ('whole milk', 3.0, 'cups'), ('cool whip', 1.0, 'cup'), ('pecans', None, None), ('chocolate', None, None)]"
c456e79b,https://www.justapinch.com/recipes/dessert/dessert-cake/delightfully-sinful-brownies.html,Delightfully Sinful Brownies,"BROWNIES, 2 cup(s) sugar, 1 cup(s) butter, 1/3 cup(s) cocoa powder, 4 - eggs, 1 teaspoon(s) vanilla, 1 1/2 cup(s) flour, 1/2 teaspoon(s) salt, 1 1/3 cup(s) peanut butter, TOPPING, 1/2 cup(s) butter, 1/4 cup(s) cocoa powder, 1/2 teaspoon(s) salt, 1/3 cup(s) milk, 10 large marshmallows, 1 teaspoon(s) vanilla, 1 pound(s) ( 16 ounces) confectioners' sugar, caramel - topping, pecans - chopped","Spray a 9 x 13 baking dish with nonstick cooking spray, set aside. Preheat oven to 350 degree F. In a medium sized microwave safe bowl, add 1 cup butter and 1/3 cup cocoa. I start with 1 minute and check to see if butter is melted. Continue in 30 second intervals, until it is. Mix with a whisk and set aside to cool., In another bowl, beat sugar, eggs and vanilla. In another bowl, blend flour and salt., Once cocoa mixture is cool enough, add the flour mixture to it, and whisk until thoroughly blended. Add this mixture to the sugar mixture. Stir, well until all is incorporated., Pour into the prepared baking dish and bake for 25 - 30 minutes or until pick comes out clean., While hot, spread peanut butter evenly over the top as it melts. Cool completely., When cake is cool, make topping. In a large saucepan, add butter, milk, marshmallows, and cocoa. Stir until butter and marshmallows are melted and everything is thoroughly blended. Add the salt and vanilla., Beat in the confectioners' sugar until smooth. Spread over the cooled cake and peanut butter., Drizzle with caramel and sprinkle with pecans. Enjoy!","[('sugar', 2.0, 'cups'), ('butter', 1.0, 'cup'), ('cocoa powder', 0.33, 'cup'), ('eggs', 4.0, None), ('vanilla', 1.0, 'teaspoon'), ('flour', 1.5, 'cups'), ('salt', 0.5, 'teaspoon'), ('peanut butter', 1.33, 'cups'), ('butter', 0.5, 'cup'), ('cocoa powder', 0.25, 'cup'), ('salt', 0.5, 'teaspoon'), ('milk', 0.33, 'cup'), ('marshmallows', 10.0, None), ('vanilla', 1.0, 'teaspoon'), ('confectioners sugar', 1.0, 'pound'), ('pecans', 1.0, None)]"
7e4e899a,https://thebakingchapters.wordpress.com/2018/12/16/lara-jeans-cinnabrownies-or-sin-brownies/,The Baking Chapters,"½ a package of cream cheese, ½ teaspoon of Cinnamon, Save about ¼ cup (4 tablespoons) of the 1 cup of sugar in the Katharine Hepburn’s Brownie recipe","Beat together the cream cheese, cinnamon, and slowly add in the sugar using a hand mixer or whisk, Take the mixture and swirl it in the brownies with a butter knife, Then bake your brownies!","[('cream cheese', 0.5, 'package'), ('cinnamon', 0.5, 'teaspoon'), ('sugar', 0.25, 'cup')]"
7f4617d2,https://www.food.com/recipe/seriously-sinful-chocolate-fudge-brownies-321377,Seriously Sinful Chocolate Fudge Brownies,"6 1/4 ounces butter, 5 ounces milk chocolate, 15 ounces soft dark brown sugar, 6 1/4 ounces flour, 5 eggs, 1 drop vanilla essence, chopped walnuts (optional), 4 ounces butter, 6 tablespoons milk, 4 tablespoons cocoa powder, 18 ounces icing sugar","Melt the butter and chocolate in a large saucepan., Add the sugar and remove from the heat. Allow to cool slightly., Add the flour, eggs, vanilla essence and nuts if using them., Beat until smooth. Pour into a lined tin. Cook in a moderate oven until an inserted skewer comes out clean., For the icing:., Melt the butter with the milk. Add the icing sugar and sifted cocoa powder., Beat until smooth. Cool slightly then spread over the cooled brownie., Allow icing to set and then cut into squares., NB-These freeze very well.","[ ('butter', 6.25, 'ounces'),  ('milk chocolate', 5.0, 'ounces'),  ('soft dark brown sugar', 15.0, 'ounces'),  ('flour', 6.25, 'ounces'),  ('eggs', 5.0, None),  ('vanilla essence', 1.0, 'drop'),  ('walnuts', None, None),  ('butter', 4.0, 'ounces'),  ('milk', 6.0, 'tablespoons'),  ('cocoa powder', 4.0, 'tablespoons'),  ('icing sugar', 18.0, 'ounces') ]"
4b64949e,https://chezus.com/2010/02/05/nutella-brownies/,Nutella Brownies,"1/2 cup butter, 9 1/2 ounces good quality bittersweet chocolate, 9 1/2 ounces Nutella, 3/4 cup sugar, 1 cup flour, 1/2 cup cocoa (unsweetened) powder, 1 teaspoon baking powder, pinch of salt, 2 eggs, 1 teaspoon vanilla","Heat oven to 325., Line a square baking pan with parchment paper and lightly butter., Heat butter, chocolate, and Nutella in a medium saucepan over low heat, until melted. Whisk in sugar and vanilla. Remove from heat., Combine the dry ingredients in a large mixing bowl. Whisk., Add eggs one at a time to the melted chocolate, whisking well, after each egg., Add the chocolate mixture to the dry ingredients, stir until combined. The mixture will be thick - do not over mix, just to incorporate ingredients., Pour into the baking pan., Bake for 25 - 30 minutes., Remove from the oven and let cool before slicing., Dust with a little more cocoa powder if you want to go really over the top., Serve., Eat.","[('butter', 0.5, 'cup'), ('bittersweet chocolate', 9.5, 'ounces'), ('nutella', 9.5, 'ounces'), ('sugar', 0.75, 'cup'), ('flour', 1.0, 'cup'), ('cocoa powder', 0.5, 'cup'), ('baking powder', 1.0, 'teaspoon'), ('salt', 1.0, 'pinch'), ('eggs', 2.0, None), ('vanilla', 1.0, 'teaspoon')]"
c310e2dd,https://www.mamamiss.com/blog/2012/11/30/sweets-sinfully-rich-fudgy-brownies/,Sinfully Rich Fudgy Brownies,"4 oz. unsweetened chocolate, 1 cup butter, 4 eggs, 2 cups granulated sugar, 1 tablespoon vanilla extract, 1/4 teaspoon salt, 1 cup all-purpose flour, 4 oz. unsweetened chocolate, 1 cup butter, 2 eggs, 1 tablespoon vanilla extract, 1 (1-lb.) pkg.powdered sugar (3 – 3/4 cups), 4 cups mini marshmallows","Preheat oven to 350° F., Grease a 13 x 9 baking pan., In a double boiler, combine chocolate and butter. Heat over low heat until melted and smooth, stirring occasionally., Remove from heat., Beat in eggs, granulated sugar, vanilla and salt until thoroughly blended., Stir in flour, blending well., Spread mixture evenly in the pre-greased pan., Bake 30-35 minutes. Brownies should be moist., Be careful not to over-bake. Cool in pan., Meanwhile, prepare Chocolate-Marshmallow Frosting., While frosting is slightly warm, spread brownies with Chocolate-Marshmallow Frosting., Refrigerate several hours or overnight., Cut chilled brownies into bars. Store in refrigerator., In a double boiler, combine chocolate and butter. Heat over low heat until melted and smooth, stirring occasionally., Remove from heat., Add eggs, vanilla and powdered sugar, beating until smooth., Stir in marshmallows.","[('unsweetened chocolate', 4.0, 'oz.'), ('butter', 1.0, 'cup'), ('eggs', 4.0, None), ('granulated sugar', 2.0, 'cups'), ('vanilla extract', 1.0, 'tablespoon'), ('salt', 0.25, 'teaspoon'), ('all-purpose flour', 1.0, 'cup'), ('unsweetened chocolate', 4.0, 'oz.'), ('butter', 1.0, 'cup'), ('eggs', 2.0, None), ('vanilla extract', 1.0, 'tablespoon'), ('powdered sugar', 1.0, 'pkg.'), ('mini marshmallows', 4.0, 'cups')]"
