ID,URL,Recipe Name,Ingredients,Instructions,Processed Ingredients
9a0817c7,https://www.justapinch.com/recipes/bread/bread-biscuits/feather-light-buttermilk-biscuits.html,Feather Light Buttermilk Biscuits,"2 cup(s) flour, 1 teaspoon(s) salt, 1 teaspoon(s) sugar, 1 tablespoon(s) baking powder, 6 tablespoon(s) very cold butter, 3/4 cup(s) cold buttermilk (plus a little more to achieve proper consistency), 1 pinch(es) baking soda (add to buttermilk)","Blend flour, baking powder, salt and sugar in a large bowl vigorously with a whisk. Cut butter into dry ingredients with a pastry cutter leaving pieces of butter about the size of large peas., Put the bowl containing the flour and butter combo in the freezer for 15 minutes. *IMPORTANT* Please don't skip this step., Pour buttermilk into a measuring cup. Add a large pinch of baking soda to the buttermilk., After 15 minutes, take the bowl from the freezer and add 3/4 cup buttermilk. Stir just until it is  mixed. Don't over-mix. Add additional buttermilk a little at a time until a stiff but sticky dough just forms. Over mixing will make them tough and dense. Leave the dough a little stickier than you think because you will be adding more flour on the counter., Flour your counter and hands. Take dough from bowl, place on counter and fold in half, very gently, 6-8 times, no more. Be extra careful not to handle the dough very much. The dough will be rough looking, not smooth like bread dough. This is what you want., Flatten dough gently with hands to about 1 to 1 1/2 inches high. I use a small glass, 2 1/2"" in diameter. Push straight down once. Do not twist or edges will seal and they will not rise when baked. Extra dough can be patted gently back together once or twice and re-cut. *Never use a rolling pin. This is the best way to get ""hockey pucks"" instead of light, feathery biscuits! lol, Place on parchment lined shiny cookie sheet with sides gently touching forming a square, 3 across, 3 down., Brush tops with milk and place on top of stove while oven is preheating. Preheat oven to 425 degrees. When preheated, bake for 11-18 minutes or until golden. Watch closely. Don't over bake. Brush lightly with melted butter when done.","[('flour', 2.0, 'cup'), ('salt', 1.0, 'teaspoon'), ('sugar', 1.0, 'teaspoon'), ('baking powder', 1.0, 'tablespoon'), ('butter', 6.0, 'tablespoon'), ('buttermilk', 0.75, 'cup'), ('buttermilk', None, None), ('baking soda', 1.0, 'pinch')]"
7f3046d0,https://sugarspunrun.com/easy-homemade-biscuits/,Homemade Biscuits,"2 cups all-purpose flour ((250g)), 1 Tablespoon baking powder, 1 Tablespoon granulated sugar, 1 teaspoon salt, 6 Tablespoons unsalted butter (very cold (85g), unsalted European butter is ideal, but not required), ¾ cup whole milk¹ ((177ml) buttermilk or 2% milk will also work)","For best results, chill your butter in the freezer for 10-20 minutes before beginning this recipe. It's ideal that the butter is very cold for light, flaky, buttery biscuits., Preheat oven to 425F and line a cookie sheet with nonstick parchment paper. Set aside., Combine flour, baking powder, sugar, and salt in a large bowl and mix well. Set aside., Remove your butter from the refrigerator and either cut it into your flour mixture using a pastry cutter or (preferred) use a box grater to shred the butter into small pieces and then add to the flour mixture and stir., Cut the butter or combine the grated butter until the mixture resembles coarse crumbs., Add milk, use a wooden spoon or spatula to stir until combined (don't over-work the dough)., Transfer your biscuit dough to a well-floured surface and use your hands to gently work the dough together. If the dough is too sticky, add flour until it is manageable., Once the dough is cohesive, fold in half over itself and use your hands to gently flatten layers together. Rotate the dough 90 degrees and fold in half again, repeating this step 5-6 times but taking care to not overwork the dough., Use your hands (do not use a rolling pin) to flatten the dough to 1"" thick and lightly dust a 2 ¾"" round biscuit cutter with flour., Making close cuts, press the biscuit cutter straight down into the dough and drop the biscuit onto your prepared baking sheet., Repeat until you have gotten as many biscuits as possible and place less than ½"" apart on baking sheet., Once you have gotten as many biscuits as possible out of the dough, gently re-work the dough to get out another biscuit or two until you have at least 6 biscuits., Bake on 425F for 12 minutes or until tops are beginning to just turn lightly golden brown., If desired, brush with melted salted butter immediately after removing from oven. Serve warm and enjoy.","[('flour', 2.0, 'cups'), ('baking powder', 1.0, 'tablespoon'), ('sugar', 1.0, 'tablespoon'), ('salt', 1.0, 'teaspoon'), ('butter', 6.0, 'tablespoons'), ('milk', 0.75, 'cup')]"
5ca39f59,https://natashaskitchen.com/homemade-biscuits/,Fluffy Homemade Biscuits Recipe,"2 cups all-purpose flour, 1 1/2 Tbsp baking powder ((aluminum free)), 1 tsp granulated sugar, 3/4 tsp salt ((we use fine sea salt)), 1/2 cup unsalted butter (cold (8 Tbsp = 1/2 cup)), 1 cup half and half (minus 2 Tbsp)*, 1/2 Tbsp melted butter (to brush the baked biscuits)","Make the Biscuit Dough:, Dice butter into 1/2"" cubes and refrigerate until needed., In a large mixing bowl, combine flour, baking powder, sugar and salt. Whisk thoroughly., Add diced cold butter and cut it into the flour using a pastry blender (or two knives or a fork), until the largest butter pieces are pea-sized., Add 1 cup - minus 2 Tbsp of Half and Half all at once and stir until mixture comes together and is mostly moistened. Do not over-mix., Fold Dough and Cut Biscuits:, Turn dough out onto a floured surface. If dough is very sticky, lightly sprinkle the top with flour., Pat dough into a rectangle then fold it in half and pat into another rectangle. Fold a second time and pat into a 5""x10"" rectangle or 3/4"" thickness. Dip a 2 1/2"" round biscuit cutter into flour and cut out 8 biscults. Pull together scraps and form into a rectangle to cut an extra 2 biscuits., Bake Biscuits:, Place biscuits on a parchment-lined baking sheet 1-inch apart and bake at 450˚F for 12-15 minutes or until tops are golden brown and biscuits are baked through. While biscuits are hot, brush tops with 1/2 Tbsp melted butter. Transfer to a wire rack to cool 10 minutes then serve.","('[all-purpose flour', 2.0, 'cups'), ('baking powder', 1.5, 'tbsp'), ('granulated sugar', 1.0, 'tsp'), ('salt', 0.75, 'tsp'), ('unsalted butter', 0.5, 'cup'), ('half and half', 1.0, 'cup'), ('melted butter', 0.5, 'tbsp')"
9cfb209f,https://www.dessertfortwo.com/christmas-lights-cookies/,Christmas Light Cookies,"3/4 cup flour, plus extra for rolling, 1/2 teaspoon baking powder, pinch of salt, 1/4 cup unsalted butter, softened, 1/4 cup sugar, 1 egg yolk, 1/2 teaspoon vanilla, 1/4 teaspoon almond extract, 1 1/2 cups powdered sugar, 2 teaspoons fresh lemon juice, 1 large egg white, 1 small tube of black icing for writing, handful mini M&Ms","In a small bowl, whisk together the flour, baking powder and salt., In a medium bowl, beat together with an electric mixer the butter and sugar. Once light and fluffy, add the egg yolk and vanilla and almond extracts., Once well incorporated, sprinkle over half the flour mixture and beat gently until combined, then sprinkle over the rest. Beat until no streaks of flour remain, but be careful not to over-mix., Dust a clean counter top with flour, and dump the dough out onto it. Gather it into a ball and press it into a 1/2"" thick round disk. Flour your rolling pin, then roll out the dough out big enough to cut out about 8 shapes. Place the shapes on a baking sheet lined with parchment paper or a silicone mat. Gather the dough scraps and re-roll to cut out 4 more shapes and place them on the cookie sheet. You should get 12 cookies., Place the cookie sheet in the freezer for the minutes while you preheat the oven to 350., Once the oven is hot, bake the cookies for 10-12 minutes, until the edges of the cookies just start to turn brown. Let them sit on the sheet a few minutes before moving them a wire rack to cool completely., Once the cookies are cooled completely, make the royal icing: in a small bowl, combine the powdered sugar and lemon juice., Beat the egg white in a small bowl to loosen them, and then measure out 2 tablespoons of egg whites and add them to the bowl with the sugar., Whisk together the icing, starting slowly, and trust that the sugar will melt and it will become liquid. Resist the urge to add any more liquid to the bowl, and instead just keep whisk slowly., When the icing comes together, spoon a small amount onto each cookie, and use an off-set spatula to spread it almost to the edges., Let the royal icing harden completely on the cookies before proceeding., Pipe two thin black lines onto each cookie, and then press mini M&Ms sideways (see photos for reference).","[('flour', 0.75, 'cup'), ('baking powder', 0.5, 'teaspoon'), ('salt', None, None), ('butter', 0.25, 'cup'), ('sugar', 0.25, 'cup'), ('egg yolk', 1.0, None), ('vanilla', 0.5, 'teaspoon'), ('almond extract', 0.25, 'teaspoon'), ('powdered sugar', 1.5, 'cups'), ('fresh lemon juice', 2.0, 'teaspoons'), ('egg white', 1.0, None)]"
33203457,https://www.bunsinmyoven.com/biscuit-making-101/,Easy Homemade Biscuits,"1 cup flour, (plus more as needed), 1 cup Bisquick, 4 teaspoons baking powder, 1 tablespoon sugar, 1/2 teaspoon salt, 1/4 teaspoon baking soda, 4 tablespoons butter, (room temperature), 1 cup milk","preheat, Preheat oven to 450 degrees., mix, Add the flour, Bisquick, baking powder, sugar, salt, and baking soda to a large mixing bowl. Stir well to combine the dry ingredients thoroughly., smear, Add two tablespoons of the butter to the dough and use a spoon to press it into the flour mixture. I find it easiest to smear the butter against the sides of the bowl while working it into the flour. Once the first two tablespoons are completely incorporated, add in the last two tablespoons and repeat the process., stir, Pour in the milk and stir with a spoon until just combined. The dough will likely be too wet. Add in more flour, one tablespoon at a time, until the dough is just dry enough to handle. Dough should come away clean from your fingers when you touch it, but stick to your fingers if you pinch it., dump, Dump dough onto a well floured work surface. Sprinkle lightly with flour., fold, Fold dough over on itself three times., pat, Use your hands to pat the dough to 3/4 of an inch high., cut, Cut dough out with biscuit cutter and place on baking sheet. Let sit 5 minutes before baking., bake, Bake for 10-15 minutes or until tops are just beginning to turn golden. Do not overbake these!","[('flour', 1.0, 'cup'), ('bisquick', 1.0, 'cup'), ('baking powder', 4.0, 'teaspoons'), ('sugar', 1.0, 'tablespoon'), ('salt', 0.5, 'teaspoon'), ('baking soda', 0.25, 'teaspoon'), ('butter', 4.0, 'tablespoons'), ('milk', 1.0, 'cup')]"
ca30eae3,https://www.inspiredtaste.net/55628/homemade-biscuits/,Our Best Fluffy Biscuits,"2 cups (260 grams) all-purpose flour, see notes for self-rising flour, 5 teaspoons baking powder, 1/4 teaspoon baking soda, 1 tablespoon sugar, 1 teaspoon fine sea salt, 6 tablespoons cold butter, see notes, 3/4 cup + 2 tablespoons (207 ml) whole milk or buttermilk","Heat the oven to 425° Fahrenheit and set aside an oven-safe 10-inch or 12-inch skillet like a cast iron pan or, if you do not have one, set aside a baking sheet instead., Combine the flour, baking powder, baking soda, sugar, and salt in the bowl of a food processor. Pulse three to four times so that it is mixed., Cut the cold butter into cubes or thin slices, then scatter it over the flour in the food processor. Pulse 5 to 7 times or until the butter turns into tiny bits — see our photos and video for reference., Empty the butter-flour mixture into a large bowl. Make a well in the middle, and then pour in the milk (or buttermilk). Stir until a shaggy dough forms., Transfer the dough onto a lightly floured work surface. Sprinkle a little flour on top, and then bring the dough together with your hands. It might be a bit sticky, so add flour as needed., Without working the dough too much, pat it down into a rectangle about 3/4 inch thick. Fold the dough into thirds, like a letter — see our photos and video for reference. Rotate the rectangle 90 degrees, and then repeat this process two more times., Pat the dough into a rectangle between 1/2 inch and 3/4 inch thick. Then use a biscuit cutter to cut out your biscuits — we use a 3-inch round cutter. Do not twist the cutter, as this will seal the edges of the biscuits and prevent them from rising., Place the cut-out biscuits into the skillet (or onto a baking sheet). Keeping them close to each other helps them rise., Gently press together the scraps and use them to make more biscuits, but be careful not to overwork the dough, or else they will be tough., Bake the biscuits until golden brown and have risen, 10 to 15 minutes. Serve warm.","[('flour', 260.0, 'grams'), ('baking powder', 5.0, 'teaspoons'), ('baking soda', 0.25, 'teaspoon'), ('sugar', 1.0, 'tablespoon'), ('salt', 1.0, 'teaspoon'), ('butter', 6.0, 'tablespoons'), ('whole milk', 207.0, 'ml')]"
61a2fc18,https://www.momontimeout.com/perfect-biscuits-every-time-recipe/,Perfect Homemade Biscuits,"3 cups all-purpose flour, 3 tbsp sugar, 1/2 tsp salt, 4 tsp baking powder, 1/2 tsp cream of tartar, 3/4 cup COLD butter, 1 egg, 1 cup whole milk","Preheat oven to 450 degrees., The secret to excellent biscuits is COLD BUTTER. Really cold. Many times the biscuit dough gets worked so much that the butter softens before the biscuits even go in the oven. Try cutting the butter into small pieces and stick back in the fridge pulling out only when ready to incorporate into the dough., Combine the dry ingredients in a large bowl., Use a pastry cutter to cut cold butter into flour mixture. Don't go too crazy here - you want to see small, pea-sized pieces of butter throughout the dough., Add in the milk and egg and mix just until the ingredients are combined. The dough will be sticky but don't keep working it. You should be able to see the butter pieces in the dough., Turn the dough out onto a generously floured surface. Sprinkle some flour on to the top of dough so it won't stick to your fingers and knead 10-15 times. If the dough is super sticky just sprinkle on some additional flour., Pat the dough out to 3/4 - 1 inch thickness and cut with a biscuit cutter or glass. I ended up with nine this time but depending on who is snacking on biscuit dough, I can get up to 12 biscuits., Place the biscuits on a lightly greased baking sheet or parchment lined baking sheet and bake for 10 to 15 minutes or until golden brown on top., For extra yumminess, brush the tops of the biscuits with melted butter...","[('flour', 3.0, 'cups'), ('sugar', 3.0, 'tbsp'), ('salt', 0.5, 'tsp'), ('baking powder', 4.0, 'tsp'), ('cream of tartar', 0.5, 'tsp'), ('butter', 0.75, 'cup'), ('egg', 1.0, None), ('whole milk', 1.0, 'cup')]"
d826ff91,https://divascancook.com/angel-biscuits-recipe-southern-yeast-rolls/,Homemade Angel Biscuits,"1/4 cup warm water (125 F), 1 teaspoon granulated sugar, 1 package Rapid Rise Instant yeast (1/4 oz) ((2¼ teaspoons)), 2½ cups all-purpose flour (( I prefer White Lily flour)), 1/4 cup granulated sugar, 1 teaspoon baking powder, 1/2 teaspoon baking soda, 1 teaspoon salt, 1/4 cup unsalted butter (chopped +more for brushing finished biscuits), 1/4 cup butter-flavored shortening, 1 cup buttermilk, 1 tablespoon heavy whipping cream","First, proof the yeast by add warm water and sugar to a glass measuring cup or bowl., Stir in the yeast., Let yeast proof while moving on the next step., In a large bowl, sift or whisk together sugar, flour, baking powder, baking soda, salt., Using a pastry cutter, cut in butter and shortening until mixture resembles small crumbs., Make a well in the center of the bowl and pour in the yeast mixture and buttermilk, stirring to combine just the yeast and buttermilk., Next begin pushing the flour mixture into the well, until everything is combined and a dough has formed., Lightly flour a work surface and turn the dough out on the work surface., Gently knead the dough to incorporate all the crumbs until you have a mound of soft, pliable dough., Fold the dough several times (this will create layers in your finished biscuits.), Pat the dough out into a 1-inch thick rectangle., Using a floured 2.5 inch round biscuit cutter, cut out 8-10 biscuits. (do not twist the cutter, simply go straight down and pull up), Place biscuits on a lightly greased pan, about 1/2 inch apart. ( My 9-inch pan held 8 biscuits), Cover pan loosely with plastic wrap and place in a very warm, draft-free location. (I put mine in the oven with just the pilot light on), Let rise for 1-hour and then preheat oven to 400 F., Remove plastic wrap and gently brush the tops with a light coating of heavy whipping cream. (This will help with browning), Bake for 10-12 minutes. (check on it at the 8-minute mark) Turn the oven to a low broil during the last minute to create golden tops (be sure to watch it constantly while broiling to prevent burning), Brush with melted butter as soon as they come out of the oven.","[('warm water', 0.25, 'cup'),  ('granulated sugar', 1.0, 'teaspoon'),  ('rapid rise instant yeast', 0.25, 'package'),  ('all-purpose flour', 2.5, 'cups'),  ('granulated sugar', 0.25, 'cup'),  ('baking powder', 1.0, 'teaspoon'),  ('baking soda', 0.5, 'teaspoon'),  ('salt', 1.0, 'teaspoon'),  ('unsalted butter', 0.25, 'cup'),  ('butter-flavored shortening', 0.25, 'cup'),  ('buttermilk', 1.0, 'cup'),  ('heavy whipping cream', 1.0, 'tablespoon')]"
84f1897d,https://www.tablefortwoblog.com/fluffy-buttery-biscuits/,The Most Fluffy and Buttery Biscuits Ever,"4 cups self-rising flour (plus more for dusting), 2 tablespoons baking powder ((see blog post above for more details; use double-acting, aluminum-free baking powder)), 1 teaspoon baking soda, 3/4 pound (3 sticks) SALTED butter (cold, cut into 1/2-inch cubes), 2 large eggs (beaten PLUS 1 large egg for brushing), 1 1/2 cups buttermilk (plus more as needed and for brushing)","In a large bowl, whisk together flour, baking powder, and baking soda., Add the butter and using a pastry blender, cut the butter into the flour until pea-like crumbs form., Stir in the beaten eggs with a wooden spoon until just combined. Then pour in the buttermilk until the dough comes together into a sticky mass. You may need more buttermilk if it's still too dry and there is flour still at the bottom of your bowl. I ended up having to add in 1/2 cup more. DO NOT add 1/2 cup more all at the same time. Do 1 tablespoon at a time until the right consistency is reached., Cover the bowl and refrigerate for at least 30 minutes., When ready, preheat oven to 400 °F (204 °C) and line a baking sheet with parchment paper., Dust a little flour onto your work surface then put the dough onto the work surface and use your hands (flour them) to press into a round, roughly 14 inch diameter and 1/2 inch thick. See photos in the blog post., Use a floured 2 3/4-inch round biscuit cutter to cut out about 20 biscuits. Reform the scraps of dough into a circle again to cut more., Transfer biscuits to prepared baking sheet and arrange them so they are touching each other. See photos in the blog post., In a small dish, beat together remaining egg and buttermilk then brush on top of the biscuits., Bake for 15-20 minutes, or until the tops are golden brown., Let cool slightly before devouring! They're best eaten out of the oven, day of., Serve with your favorite sausage gravy, jam, or clotted cream.","[('self-rising flour', 4.0, 'cups'), ('baking powder', 2.0, 'tablespoons'), ('baking soda', 1.0, 'teaspoon'), ('butter', 0.75, 'pound'), ('eggs', 2.0, None), ('buttermilk', 1.5, 'cups')]"
020fec85,https://www.seriouseats.com/light-and-fluffy-biscuit-recipe,Light and Fluffy Biscuits Recipe,"9 ounces all-purpose flour, such as Gold Medal (about 2 cups, spooned; 255g), 1/2 ounce sugar (about 1 tablespoon; 15g), 1 tablespoon baking powder, 1/2 teaspoon baking soda, 1 1/2 teaspoons (6g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight, 4 ounces cold unsalted butter, cut into 1/2-inch cubes (about 8 tablespoons; 110g), 9 ounces plain yogurt, straight from the fridge (about 1 cup plus 2 tablespoons; 255g), see note","Adjust oven rack to lower-middle position and preheat to 400°F (200°C). Should your kitchen be warmer than 75°F (24°C), please see our guide to baking in a hot kitchen before getting started; the specifics are focused on pie dough, but the overall principles are true of biscuits as well., Sift flour into a medium bowl, then add sugar, baking powder, baking soda, and salt; whisk until well combined (this may take up to 1 minute). Add butter, toss to break up the pieces, and smash each cube flat. Continue smashing and rubbing until butter has mostly disappeared into a floury mix, although a few larger, Cheerio-sized pieces may remain. This can also be done with 4 or 5 pulses in a food processor, just take care not to overdo it. The prepared mix can be refrigerated up to 3 weeks in an airtight container, then used as directed below., Add yogurt, and stir with a flexible spatula until the flour has been fully absorbed. The dough will seem rather crumbly and dry at first, but keep mixing until it finally comes together (don't worry about over-mixing; until the flour has been fully incorporated, the greater concern is under-mixing). Once the dough forms a rough ball, turn out onto a lightly floured surface., With your bare hands, gently pat the dough into a squarish shape about 1/2 inch thick, then fold in half; repeat twice more for a total of 3 folds, using only enough flour to keep your hands from sticking. Finish by patting the dough to a thickness of 3/4 inch. If needed, dust away any excess flour, then cut into 1 3/4-inch rounds and arrange in a 10-inch cast iron skillet. Gather scraps into a ball, pat and fold a single time, then cut as many more biscuits as you can. The final round of scraps can be gathered and shaped into a single biscuit by hand., Bake until the biscuits are well-risen and golden brown, about 20 minutes. Let the biscuits cool about 5 minutes to help set their crumb, then serve as desired, whether alongside soups and stews or split for shortcake or breakfast sandwiches. Leftovers can be stored up to a week in an airtight container; to serve, split the stale biscuits in half, brush with melted butter, arrange on a baking sheet, and broil until golden brown, then serve with jam.","[('flour', 9.0, 'ounces'), ('sugar', 0.5, 'ounce'), ('baking powder', 1.0, 'tablespoon'), ('baking soda', 0.5, 'teaspoon'), ('kosher salt', 6.0, 'grams'), ('butter', 4.0, 'ounces'), ('yogurt', 9.0, 'ounces')]"
