ID,URL,Recipe Name,Ingredients,Instructions,Processed Ingredients
d9064772,https://ciaoflorentina.com/rustic-crusty-bread-recipe/,Rustic Italian Crusty Bread Recipe,"3.25 cups all purpose flour (+ more for dusting), 1 tsp sea salt, 1.5 cups warm water, 2 tsp instant yeast ((or active dry yeast))","mix, In a large mixing bowl or your kitchen aid mixer add the flour, salt and yeast. Use a spatula or the paddle attachment and mix to combine well., incorporate, Pour in the warm water and keep mixing until everything is incorporated and a soft dough has formed. It will still stick to the bottom of the bowl and that is OK., rise, Cover the bowl with some plastic wrap loosely and a tea towel. Allow the dough to rise at room temperature for 2 to 3 hours until doubled in size., dump, Sprinkle some flour on your kitchen counter and dump the bread dough on it. Flour your hands to help it out of the bowl as it will be sticky. Don't panic, this is normal., shape, With floured hands fold the dough onto itself forming it into a round ball. Do not knead it, do not handle it anymore than you need to. Use a sharp knife and lightly carve an X in the top of the loaf or just make a few cuts across., rest, Place the bread dough on top of a lightly floured pizza peel, cardboard or parchment paper and allow it to rest while your oven is heating up., preheat, Preheat your oven to 450”F with a pizza stone inside for about 45 minutes before baking the bread. Fill an oven proof bowl with 2 inches of water and place it on the bottom rack. This will create the steam that will cause the crust to become crispy as it bakes., bake, Once your oven is hot sprinkle the pizza stone with some semolina flour or corn meal and carefully slide the bread loaf on top. Bake the bread for about 30 to 45 minutes until golden brown all over and cooked through., cool, Transfer the bread to a cooling rack and allow to cool off completely before slicing into it. You can also let it cool inside the oven with the door slightly open., Dutch Oven Method, dutch oven method, Instead of a pizza stone preheat your oven with a dutch oven inside. Once hot, carefully place the bread loaf inside the dutch oven ideally using parchment paper for easy transfer. Cover with the lid and bake for 30 minutes. Remove lid and bake another 5 minutes until golden brown on top. Remove the bread from the dutch oven and transfer to a cooling rack or it won't stay crispy., Original Large Loaf Recipe:, Ingredients: 1 package instant dry yeast (1/4 oz)6.25 cups all purpose flour + more for dusting2 tsp sea salt3 cups warm water., Instructions: Follow the above instructions and bake at 450""F for 45 minutes.","[('flour', 3.25, 'cups'), ('salt', 1.0, 'tsp'), ('water', 1.5, 'cups'), ('yeast', 2.0, 'tsp')]"
34e271fa,https://merryboosters.com/rustic-bread-recipe-with-biga/,Rustic Bread Recipe with Biga :The Best Homemade Artisan Bread Recipe,"320 g Flour, 224 ml Water, .1 g 2 Pinches of instant yeast (1/12 th tsp we can use the same amount of active dry yeast as well), 80 g Flour, 56 ml Water, 7 g Salt, .8 g Yeast (1/4 tsp(insatnt or active dry yeast))","Prepare the Biga, Into a bowl add in the water and 2 pinches of yeast.It is hard to weigh it and most easiest way of expressing this amount will be slightly less than 1/12 tspStir and dissolve it in water.Now add the flour and combine together to form a dough.Make sure there are no dry patches left behind.Cover the bowl with a cling film and let it sit and ferment overnight.We can use the biga or starter that’s been fermented anywhere between 10-16 hours(for the best results), Prepare the Bread Dough, In a small bowl ,add the water ,yeast ,salt and flour.Mix and combine to form a shaggy mass of dough.Now incorporate this dough with the preferment.Make sure its combined well enough that there are no lumps left and it’s a homogenous dough.If you want to use a stand mixer you can use it at this point, which will make the process much easier.Now cover the dough and let it sit and rise., First Proofing (2 hours), During this Proofing time we need to strengthen the dough.For that we will do 1 round of “stretch and fold” in 45 minutes and then another “layering of dough sheet” in another 45 minutesAfter 45 minutes of proofing, let’s do stretching and folding the dough to strengthen the gluten in the dough.Just pull and stretch the dough and then fold it onto itself.Repeat the same on all four sides.Leave it to rise for another 45 minutes.Then again flip the dough on to a wet surface and stretch the dough to form a rectangular sheet of dough.Fold the dough from bottom and top 1/3 rd and then again fold it as shown in video.By now our dough has got a good texture.Transfer this dough onto a well greased containerNow cover the dough and let it rise for another 30 minutes., Shape the dough, Our bread dough has risen slightly and it is ready for shaping.Transfer the dough on to a well floured work surface and then shape it into a boule ” (round )or batard” (oblong)Place the shaped dough on to a bannettone or onto a rectangular loaf pan or a round bowl, lined with a well dusted(best to use gluten free flour like rice flour so that it will not stick to the dough) kitchen towel.Let the shaped bread dough sit and rise for 50 minutes in a warm environment and 50-60 minutes in a cold environment.After the final proofing, flip the dough on to a parchment paper.Dust off any excess flour on top.Score the bread with a sharp knife or blade or with a lame.Place this into the preheated oven dish or dutch oven.(We can use any oven proof dish with a proper lid.)Close the oven dish with it’s preheated lid., Bake the No knead Rustic Bread, Baking temperature and durationTransfer the dough on to a well preheated dutch oven(250C)( I recommend an oven thermometer to make sure your oven is hot enough) and close the pot with an oven safe lid.We can use a Dutch oven which is best to use for making this type of artisan rustic breads.Take care not to burn yourself during this step as the dutch oven or oven dish is very hot.Bake the bread inside the hot dutch oven(480F or 250 C) for 18 minutes with the lid on.After 18 minutes of baking,remove the lid and Reduce the oven temperature to 230CF.And then bake for another 8-12 minutes without the lid (450 F or 230C) ,until the top of the bread is nice and deep golden brown.The more you bake at this point,the more crispy the crust become.This extra baking will give that outer crust of the bread to get a more crisp and caramelized golden brown color and a nutty flavor., The bread is best when eaten fresh,when they are cooled but still slightly warm.It is chewy,so flavorful and has the perfect airy, soft texture.Enjoy!","[('flour', 320.0, 'g'), ('water', 224.0, 'ml'), ('flour', 80.0, 'g'), ('water', 56.0, 'ml'), ('salt', 7.0, 'g'), ('yeast', 0.8, 'g')]"
90fbfa23,https://www.allrecipes.com/recipe/230162/softest-soft-bread-with-air-pockets-using-bread-machine/,Softest Soft Bread with Air Pockets Using Bread Machine,"1 cup warm water (105 to115 degrees F/40 to 45 degrees C), 4 teaspoons honey, 2 teaspoons active dry yeast, 2 cups all-purpose flour, 4 teaspoons olive oil, ½ teaspoon salt","Pour warm water into the pan of a bread machine and stir in honey until dissolved. Add yeast; let stand until foamy, about 10 minutes., Add flour, olive oil, and salt to the pan in the order listed or follow the order recommended by the manufacturer if different., Run Soft cycle if available; otherwise, select Regular cycle. Remove loaf from the machine after the cycle is done, about 55 minutes. Allow baked loaf to cool before slicing.","[('water', 1.0, 'cup'), ('honey', 4.0, 'teaspoons'), ('yeast', 2.0, 'teaspoons'), ('flour', 2.0, 'cups'), ('olive oil', 4.0, 'teaspoons'), ('salt', 0.5, 'teaspoon')]"
0f928bd9,https://www.lionsbread.com/fluffy-homemade-pita-bread/,Fluffy Homemade Pita Bread,"2 1/2 tsp active dry yeast, 1 2/3 cups warm water (about 95 degrees F), 1 tsp granulated sugar, 1 1/4 tsp kosher salt (I like Morton's ), 4 cups unbleached all purpose flour","In the bowl of a stand mixer, combine the warm water, yeast, and sugar. Use a small whisk to thoroughly combine. Let the yeast proof for about 5 minutes, until the mixture is foamy and bubble., Make sure the stand mixer is fitted with the dough hook attachment. Add the kosher salt to the bowl, and 1 cup of the flour. Mix on low, while slowly adding the rest of the flour, until it is fully incorporated. Knead the mixture on low for about 5 minutes. The dough should look sticky, and should just form a loose ball. Remove the dough hook, scraping any dough bits off it. Cover the bowl with plastic wrap and let rise at room temperature for about an hour and half until the dough has doubled in size., Place your pizza stone into the oven, about 8 inches from the top. Preheat the oven to 500 degrees F., Flour your work surface well. Use a rubber spatula to slowly pour out the dough onto your work surface. Make sure your hands are floured, and gather the dough into a ball, tucking the edges under. Use a bench scraper or sharp knife to cut the dough into 8 equal pieces. Roll each piece into a smooth ball with your hands, and place on the floured board to rest for 5-10 minutes. Dust some flour on the top of each ball, and cover loosely with a piece of plastic wrap., Roll out one ball at a time into a flat 6-inch circle, making sure the dough doesn't stick to the rolling pin or work surface. Quickly place 2 pitas on the hot pizza stone at a time. You want to make sure that they're totally flat. It may take some practice, but be confident when you gently toss the dough onto the stone. Bake for 4-5 minutes, until the pita bread puffs into pillow-y pocket. Remove the pitas, and place on a rack to cool. Once all of the pitas are baked, place them into a plastic bag. The little bit of steam actually keep the pita bread soft and moist.","[('active dry yeast', 2.5, 'tsp'), ('warm water', 1.67, 'cups'), ('granulated sugar', 1.0, 'tsp'), ('kosher salt', 1.25, 'tsp'), ('unbleached all purpose flour', 4.0, 'cups')]"
5e767e3e,https://peaktoplate.com/dutch-oven-sourdough-bread/,Fluffy Dutch Oven Sourdough Bread (+ Photo Tutorial),"150 g all-purpose flour, 150 g lukewarm water, 125 g sourdough starter, 350 g lukewarm water, 10 g fine sea salt, 500 g bread flour","Feeding Starter:, Remove all but a couple of tablespoons of the starter from the jar. You can use the discard for other recipes or if you have chickens you can feed it to them!, Add 150 g of all-purpose flour and 150 g of lukewarm water to the jar and stir it with a long silicone spatula or another clean kitchen utensil until well combined. It should be the consistency of a thick pancake batter. Loosely place the lid on the jar and let rise in a warm spot for 6-8 hours. I like to put mine on top of my fridge., Dough:, To a large mixing bowl, add 125 g of active starter and 350 g of lukewarm water. Whisk the mixture with a dough whisk until the starter is somewhat dispersed in the water. It doesn't have to be a homogenous mixture., Add 10 g of salt and 500 g of bread flour. Stir with the dough whisk until a shaggy dough forms. Cover the bowl and let it rest for 30 minutes. I like to use a shower cap to cover my bowl and banneton so I don't use a bunch of plastic wrap and they're easier to fit around the bowl., Use a silicone bowl scraper to pull the dough away from the bowl edges. Gently stretch the dough between your hands. Then fold the dough in half, grab the sides with the seams, and stretch it in the opposite direction. Repeat until dough starts to feel tight and resists stretching, about 3-4 times. Cover the bowl and let the dough rest for 30 minutes., Repeat the stretching, folding, and resting process 3 more times. Cover the dough and let it sit on the counter overnight, about 8-12 hours., Shaping and Baking:, In the morning, shape the dough into your desired shape (boule or batard) with a bench scraper and place it top-down in a floured banneton or cloth-lined bowl. See the recipe post for a photo tutorial on shaping., Seal the bottom edges of the dough ball together. Cover the banneton and refrigerate for at least 1 hour or up to 24 hours for a really crispy crust. The sweet spot is around 3-4 hours for this recipe., Place the Dutch oven in a cold oven and preheat it to 500°F. Preheat for at least 1 hour., Place the dough ball, seam side down, on a piece of parchment paper. Score it with a razor blade or bread lame. It needs at least one big slash on the side of the dough ball to let out steam as it rises. You can add decorative scoring as well, but it isn't necessary., Place the dough on parchment paper in the preheated Dutch oven and cover it with the Dutch oven lid. Reduce the oven heat to 450°F. Bake for 23 minutes., Remove the lid and bake for an additional 12 minutes., Remove the bread from the oven and let it cool completely on a cooling rack., Sample Schedule:, 10 am: Feed the starter., 6:30 pm: Make the dough. Cover the starter with the lid and refrigerate for up to a week before feeding again., 7 pm: Stretch and fold the dough, and cover the bowl., 7:30 pm: Stretch and fold the dough, and cover the bowl., 8 pm: Stretch and fold the dough, and cover the bowl., 8:30 pm: Stretch and fold the dough. Cover the bowl and leave it on the counter overnight., 6:30 am (next day): Shape the dough and place it in a floured banneton or cloth-lined bowl. Cover and refrigerate., 10 am: Place the Dutch oven in the oven and preheat the oven., 11 am: Score dough, reduce the oven temperature and bake. Let the bread cool completely on a wire rack., 3 pm: Place the bread in a zippered bag to soften the crust (optional)., 6 pm: Eat!","[('flour', 150.0, 'g'), ('water', 150.0, 'g'), ('sourdough starter', 125.0, 'g'), ('water', 350.0, 'g'), ('salt', 10.0, 'g'), ('bread flour', 500.0, 'g')]"
b9b15ef0,https://alexandracooks.com/2017/10/24/artisan-sourdough-made-simple-sourdough-bread-demystified-a-beginners-guide-to-sourdough-baking/,"Homemade Sourdough Bread, Step by Step","50 – 100 g (1⁄4 – 1/2 cup) bubbly, active starter — I always use 100 grams, see notes above, 375 g (1 1/2 cups plus 1 tbsp) warm water, or more, see notes above, 500 g (4 cups plus 2 tbsp) bread flour, 9 to 12 g (1.5 – 2.5 teaspoons) fine sea salt, see notes above","Make the dough, Whisk the starter and water together in a large bowl with a fork or spatula. Add the flour and salt. Mix to combine, finishing by hand if necessary to form a rough dough. Cover with a damp towel and let rest for 30 minutes., Stretch and fold, After 30 minutes, grab a corner of the dough and pull it up and into the center. Repeat until you’ve performed this series of folds 4 to 5 times with the dough. Let dough rest for another 30 minutes and repeat the stretching and folding action. If you have the time: do this twice more for a total of 4 times in 2 hours. Note: Even if you can only perform one series of stretches and folds, your dough will benefit. So don’t worry if you have to run off shortly after you mix the dough., Bulk Fermentation (first rise), Cover the bowl with a towel and let rise at room temperature, about 8 to 10 hours at 70°F (21°C) or even less if you live in a warm environment. The dough is ready when it has increased by 50% in volume, has a few bubbles on the surface, and jiggles when you move the bowl from side to side. (UPDATE: In the past I have recommended letting the dough rise until it doubles in volume. If you’ve had success with this, continue to let the dough double. Recently, I have been stopping the bulk fermentation when the dough increases by 50% in volume, and I feel I am actually getting better oven spring in the end.) (Note regarding timing: If you are using 100 g of starter, the bulk fermentation may take less than 8 to 10 hours. If you live in a warm, humid environment, the bulk fermentation may take even less time. In the late spring/early summer, for example, my kitchen is 78ºF and the bulk fermentation takes 6 hours. It is best to rely on visual cues (increase in volume by roughly 50%) as opposed to time to determine when the bulk fermentation is done. A straight-sided vessel makes monitoring the bulk fermentation especially easy because it allows you to see when your dough has truly increased in volume by 50%.), Shape (See notes above), Coax the dough onto a lightly floured surface. Gently shape it into a round: fold the top down to the center, turn the dough, fold the top down to the center, turn the dough; repeat until you’ve come full circle. If you have a bench scraper, use it to push and pull the dough to create tension., Rest, Let the dough rest seam side up rest for 30 minutes. Meanwhile, line an 8-inch (20-cm) bowl or proofing basket with a towel (flour sack towels are ideal) and dust with flour (preferably rice flour, which doesn’t burn the way all-purpose flour does). Using a bench scraper or your hands, shape it again as described in step 4. Place the round into your lined bowl, seam side up., Proof (second rise), Cover the dough and refrigerate for 1 hour or for as long as 48 hours. (Note: I prefer to let this dough proof for at least 24 hours prior to baking. See video for the difference in the crumb of a loaf that has proofed for 6 hours vs one that has proofed for 24 hours. If you choose to proof the dough in the fridge for an extended period of time, you may want to tuck it into a loosely tied bag — produce bags from the grocery store are great for this purpose — to ensure the dough does not dry out. The original recipe calls for a 1-hour rise, and if you have had success doing that, by all means, keep doing it.), Place a Dutch oven in your oven, and preheat your oven to 550°F (290°C). Cut a piece of parchment to fit the size of your baking pot., Score, Place the parchment over the dough and invert the bowl to release. Using the tip of a small knife or a razor blade, score the dough however you wish — a simple “X” is nice. Use the parchment to carefully transfer the dough into the preheated baking pot., Bake, Lower the oven to temperature to 450ºF (230ºC). Carefully cover the pot. Bake the dough for 30 minutes, covered. Remove the lid, lower the temperature to 400ºF (200ºC) and continue to bake for 10 – 15 minutes more. If necessary, lift the loaf out of the pot, and bake directly on the oven rack for the last 5 to 10 minutes. Cool on a wire rack for 1 hour before slicing., This loaf will stay fresh up to 3 days stored at room temperature in an airtight plastic bag or container. It freezes beautifully, too.","[('starter', 100.0, 'g'), ('water', 375.0, 'g'), ('flour', 500.0, 'g'), ('salt', 9.0, 'g')]"
19bbe6fe,https://abountifulkitchen.com/dianes-no-fail-french-bread/,Diane's No Fail French Bread,"2 tablespoons dry yeast (I prefer SAF brand), 1/2 cup warm water, 2 cups warm water*, 3 tablespoons sugar, 1 tablespoon (yes tablespoon!) sea or Kosher salt, 5 tablespoons Olive oil, Canola or vegetable oil*, 6 cups flour (4 cups bread flour and 1 1/2-2 cups All Purpose), 1 egg *optional (beaten- for glazing bread)","**Please read recipe notes before beginning if you live in a humid environment!**, Dissolve yeast in 1/2 cup warm water., In a separate large bowl combine warm water*, sugar, salt, oil and 3 cups of the flour. Stir well., Add the yeast mixture to the warm water-flour mixture. Mix together with large wooden spoon or paddle attachment., Add the remaining 3 cups of flour, a cup at a time, mixing well after each addition., After all of the flour is added and mixed in, let sit in bowl for 10 minutes., When the dough has risen, stir down with a large spoon. If making in a stand mixer, turn the machine on low for a few seconds until the dough is deflated, and push dough to bottom part of bowl with a spatula., Repeat 5 times, every ten minutes, for a total of 60 minutes of rising and then punching (or pushing) down., Divide the dough in half. Roll each half of dough in a 9x12 rectangle on a floured surface., Roll the dough up like a jelly roll (long way). Place the dough on a greased baking pan (jelly roll pan), with the seam side down. Both loaves will fit on one pan., Score the bread across the top 3 or 4 times, and brush with beaten egg (if using)., Let rise for 20-30 minutes in warm place., Bake at 375 for 20-25 minutes in lower half of oven, until golden brown. Or you may bake at 350-375 convection for 18-20 minutes until golden.","[('yeast', 2.0, 'tablespoons'), ('water', 0.5, 'cup'), ('water', 2.0, 'cups'), ('sugar', 3.0, 'tablespoons'), ('salt', 1.0, 'tablespoon'), ('oil', 5.0, 'tablespoons'), ('flour', 6.0, 'cups'), ('egg', 1.0, None)]"
1616de81,https://platedcravings.com/white-bread/,White Bread,"1 2/3 cups lukewarm water (divided), 2 1/4 tsp instant yeast (or active dry yeast), 1 tsp sugar, 1 Tbsp honey ((or more sugar)), 1 tsp salt, 1 1/2 Tbsp unsalted butter (cubed at room temperature), 4 1/2 cups all-purpose flour, 1 1/2 Tbsp butter (melted for brushing)","In the bowl of a stand mixer fitted with the dough hook combine the instant yeast, sugar, and half of the lukewarm water. Let sit for 5-10 minutes until foamy (if using active dry yeast, let sit for 15 minutes)., Add remaining water, honey, salt, cubed butter, and 4 cups flour to the bowl. Knead at low speed until the dough comes together and is soft but not sticky. Add a few more tablespoons flour if necessary. Continue to knead for 6-9 minutes until the dough pulls away from the sides of the bowl and is soft and smooth., Transfer the dough to a lightly greased bowl and make sure that it is completely coated. Cover with plastic wrap and let rise in a warm and draft-free place for about 45 minutes or until doubled in size., Lightly flour your work surface and turn out the dough onto it. Divide it into two equally sized portions. Use your fingers to gently pat each half into an 8x12 inch rectangle while pressing it all over to remove any air pockets. Starting at the short end, roll up the rectangle into a tight roll and pinch the seams to seal. Tuck the ends of the roll slightly under the roll to create some tension on the surface and place each loaf into a greased 8x4 inch loaf pan tucked ends and seam side down. Cover with a greased piece of plastic wrap and let rise for about 45 minutes in a warm and draft-free place until doubled in size., Preheat oven to 390 degrees F and adjust oven rack to lower-middle position., Bake loaves for 25-30 minutes until golden brown (and the loaf registers 208 to 210 degrees)., Invert bread onto a cooling rack. Reinvert loaves and brush tops and sides with melted butter. Let cool completely before slicing.","[('water', 1.0, 'cups'), ('yeast', 2.0, 'tsp'), ('sugar', 1.0, 'tsp'), ('honey', 1.0, 'tbsp'), ('salt', 1.0, 'tsp'), ('butter', 1.5, 'tbsp'), ('flour', 4.5, 'cups'), ('butter', 1.5, 'tbsp')]"
41578f79,https://eatdessertsnack.com/perfect-fluffy-french-bread/,Soft Fluffy French Bread,"1 cup warm water (approx 90-110 degrees F. ), 2 teaspoon active dry yeast, 1 Tablespoon white granulated sugar (or honey), 1 teaspoon salt, 1 Tablespoon oil, 2½ to 3 cups all purpose flour, 1 egg, beaten for top of bread","In bowl of stand mixer (or large bowl if mixing by hand), combine warm water, yeast, and sugar. Let sit 5-7 minutes or until foamy., Mix in salt, oil, and 2 cups flour on low speed until combined. Add half cup flour at a time until dough pulls away from sides of bowl and is only slightly sticky. Mix on low to medium speed for 3-5 minutes, or hand knead 5-7 min., Place dough in greased bowl and let rise for 45 minutes at room temperature, it should be almost double in size. Roll out into a 9X13 inch rectangle and then roll tightly up into a long roll, about 2-3 inches high and 13 inches long., Preheat oven to 375 F. Prepare a baking sheet with silicone baking mat or parchment paper., Place the roll of dough on baking sheet and slice slits in top of bread 2-3 inches apart, and about ¼ inch deep. Let rise one hour, or until about doubled in size., Bake at 375 for 20-25 minutes, top should be golden brown and sound hollow when tapped. Brush egg onto top of loaf and bake for another 2-3 minutes. This gives the outside of the loaf a nice shine and a little crunch.","[('water', 1.0, 'cup'), ('yeast', 2.0, 'teaspoon'), ('sugar', 1.0, 'tablespoon'), ('salt', 1.0, 'teaspoon'), ('oil', 1.0, 'tablespoon'), ('flour', 2.5, 'cup'), ('egg', 1.0, None)]"
297da2b9,https://www.lionsbread.com/lazy-girl-sourdough-bread-recipe/,Lazy Girl Sourdough™ Bread,"500 g unbleached all purpose flour, 375 g filtered water, room temperature, 12 g kosher salt (I use Morton's) use 2.5 tsps if you're using Diamond Crystal, 90 g sourdough starter, fed or unfed is fine","In a large mixing bowl, combine water and sourdough starter, using your hand to dissolve the stater into the water. Add the flour and salt. Use a danish dough whisk or your clean hands to mix the dough. Pinch the shaggy dough to incorporate all of the flour. Scrape the bowl as you go. The dough will be very shaggy. If it feels really dry, add another tablespoon or two of water, and keep pinching and mixing until no dry patches of flour remain. Cover the bowl with a clean kitchen towel, and let rest for 20 minutes., Do 1 stretch and fold rotation around the dough. Lift up one side of dough, and stretch it up gently, then lay it over the ball of dough. Continue lifting sides of the dough, until you've worked your way around the entire ball of dough. Use you hand to scoop up the dough ball, and flip it over. Cover with a kitchen towel, and let rest for another 20 minutes., Repeat the stretch and fold process all the way around the perimeter of the dough, then flip the dough over. Cover with plastic wrap, or a dough cover, and let bulk ferment (rise) at room temperature for 12-18 hours, or until the dough has doubled in size., Flour a proofing basket really well. Or, you could line a medium size mixing bowl with a clean kitchen towel, and thorough cover the inside of it with flour. Pour the dough out onto a well floured work surface. Do a quick preshape by bringing all 4 corners of the dough into the middle, overlapping. Flip it over and let it sit on your floured board for about 10 minutes. Now for the final shape: flour your work surface again. Flip the dough over, and begin bringing the sides in towards the center, then roll the dough up, until a nice tight boule is formed. For more tension, you gently drag the dough towards you on the board. Pinch the bottom shut, and place SEAM SIDE UP in the prepared proofing basket. Sprinkle the top with flour, and cover with a kitchen towel. Let the dough rise at room temperature for 2-3 hours until it puffy, jiggy, and has almost doubled in size., Preheat your oven to 450 degrees F, with a enamel coated coast iron Dutch oven inside. When your dough has risen, turn it out onto a piece of parchment paper. Slash/score the top with a lame or sharp chef's knife. The slash can be decorative, or a simple straight line down the center, about 1/2"" deep. Remove the extremely hot dutch oven from the oven, using oven mitts, and remove the lid. Lift the corners of the parchment paper with the dough on it, and gently place into the hot pot. Cover with the lid, and bake for 25 minutes. Remove the lid, and return the pot to the oven for another 25 minutes to allow the loaf to brown. The crust should be dark brown, even mahogany in some places., Remove the baked loaf, and allow to cool completely on a rack before slicing into it. This should take about an hour., The best way to store fresh bread is in a paper or plastic bag at room temperature for up to 4 days. If you want to freeze the bread, slice it first, then freeze.","[('flour', 500.0, 'g'), ('water', 375.0, 'g'), ('salt', 12.0, 'g'), ('sourdough starter', 90.0, 'g')]"
