ID,URL,Recipe Name,Ingredients,Instructions,Processed Ingredients
cab610a4,https://www.noracooks.com/vegan-chocolate-cake/,The Best Vegan Chocolate Cake,"▢1cupunsweetened almond milk, ▢1tablespoonapple cider vinegar, ▢2cupsall purpose flour, ▢1 3/4cupsgranulated sugar, ▢3/4cupcocoa powder, ▢2teaspoonsbaking powder, ▢1 1/2teaspoonsbaking soda, ▢1teaspoonsalt, ▢1/2cupcanola oil OR melted coconut oil, ▢2/3cupunsweetened applesauce, ▢1tablespoonpure vanilla extract, ▢1cupboiling water","Preheat oven to 350 degrees F and grease two 9-inch cake pans. I also line them with parchment rounds and lightly flour for easy removal of the cakes later., Measure 1 cup unsweetened almond milk and add the tablespoon of vinegar to it. Stir slightly and set aside to curdle., In a large bowl, add the flour, sugar, cocoa powder, baking powder, baking soda and salt. Whisk well to combine., Now add the oil, applesauce, vanilla and almond milk/vinegar mixture. Mix on medium speed with a hand mixer (or stand mixer with the paddle attachment) until well combined., Lower the speed and carefully pour in the boiling water, continuing to mix into the cake batter until combined. The batter will seem very runny at this point; that is how it should be, trust me!, Divide the batter evenly between your cake pans. Bake for 30-35 minutes, or until a toothpick inserted in the center comes out clean. After 10 minutes of cooling in the pan, carefully remove the cakes from the pans and let cool completely before frosting.","[('almond milk', 1.0, 'cup'), ('apple cider vinegar', 1.0, 'tablespoon'), ('all purpose flour', 2.0, 'cups'), ('granulated sugar', 1.75, 'cups'), ('cocoa powder', 0.75, 'cup'), ('baking powder', 2.0, 'teaspoons'), ('baking soda', 1.5, 'teaspoons'), ('salt', 1.0, 'teaspoon'), ('canola oil', 0.5, 'cup'), ('coconut oil', 0.5, 'cup'), ('applesauce', 0.67, 'cup'), ('vanilla extract', 1.0, 'tablespoon'), ('boiling water', 1.0, 'cup')]"
8e637b57,https://addapinch.com/the-best-chocolate-cake-recipe-ever/,The Best Chocolate Cake Recipe {Ever},"▢2cups(240g)all-purpose flour, ▢2cups(396g)sugar, ▢3/4cup(63g)unsweetened cocoa powder, ▢2teaspoons(8g)baking powder, ▢1 1/2teaspoons(9g)baking soda, ▢1teaspoon(2.8g)kosher salt, ▢1teaspoon(2.3g)espresso powder,homemade or store-bought, ▢1cup(227g)milk,or buttermilk, almond, or coconut milk, ▢1/2cup(99g)vegetable oil,or canola oil, or melted coconut oil, ▢2large(100g)eggs, ▢2teaspoons(9.4g)vanilla extract, ▢1cup(227.g)boiling water, ▢Chocolate Buttercream Frosting Recipe",Preheat oven to 350º F. Prepare two 9-inch cake pans by spraying with baking spray or buttering and lightly flouring.,"[('flour', 240.0, 'g'), ('sugar', 396.0, 'g'), ('cocoa powder', 63.0, 'g'), ('baking powder', 8.0, 'g'), ('baking soda', 9.0, 'g'), ('salt', 2.8, 'g'), ('espresso powder', 2.3, 'g'), ('milk', 227.0, 'g'), ('oil', 99.0, 'g'), ('eggs', 100.0, 'g'), ('vanilla extract', 9.4, 'g'), ('boiling water', 227.0, 'g')]"
c48c2e14,https://scientificallysweet.com/the-best-moist-chocolate-cake/,The BEST Moist Chocolate Cake Recipe,"1 ¾cup250g all-purpose flour, ⅔cup56gcocoa powder (I prefer this one), 1teaspoonbaking powder, 1teaspoonbaking soda, 1cup200g granulated sugar, ½cup110g packed light brown sugar, ¾teaspoonsalt, 2large eggs, ½cup120ml vegetable oil(I prefer sunflower oil), ¾cup180ml sour cream, 1teaspoon5mlpure vanilla extract, 1cup240ml hot coffee","Preheat oven to 350°F. Lightly grease and flour two 8-inch round cake pans and line the base with parchment paper., Sift flour, cocoa, baking powder and baking soda into a large bowl. Add both sugars and salt and whisk to blend well, pressing out any lumps of brown sugar., Combine eggs, oil, sour cream and vanilla in a medium bowl and whisk to blend well. Pour into the bowl with the dry ingredients and mix with an electric hand mixer on medium-low until blended. It will be thick and somewhat dry. Add the hot coffee gradually in two stages to minimize clumps forming and beat until evenly combined and the batter smooth., Divide batter evenly between the prepared pans and bake for 30-33 minutes until cakes spring back when pressed gently and a skewer inserted into the center comes out clean. Transfer pans to a wire rack and let cool for 15 minutes before inverting onto the rack to cool completely., Once cakes are cooled, cover them with myBEST Chocolate Fudge Frosting!","[('flour', 250.0, 'grams'), ('cocoa powder', 56.0, 'grams'), ('baking powder', 1.0, 'teaspoon'), ('baking soda', 1.0, 'teaspoon'), ('granulated sugar', 200.0, 'grams'), ('light brown sugar', 110.0, 'grams'), ('salt', 0.75, 'teaspoon'), ('eggs', 2.0, none), ('vegetable oil', 120.0, 'milliliters'), ('sour cream', 180.0, 'milliliters'), ('vanilla extract', 5.0, 'milliliters'), ('hot coffee', 240.0, 'milliliters')]"
984c097c,https://www.recipetineats.com/my-very-best-vanilla-cake/,My very best Vanilla Cake – stays moist 4 days!,"Whisk flour, baking powder and salt in a large bowl. Set aside.","Preheat oven to 180°C/350°F (160°C fan) for 20 minutes before starting the batter (Note 8). Place shelf in the middle of the oven., Grease 2 x 20cm / 8” cake pans with butter, then line with parchment / baking paper. (Note 9 more pan sizes) Best to use cake pan without loose base, if you can.","[('flour', none, none), ('baking powder', none, none), ('salt', none, none)]"
313f5b52,https://divascancook.com/the-best-red-velvet-cake-recipe-easy-homemade-moist-with-southern-flair/,BEST Southern Red Velvet Cake Recipe,"2cupsall-purpose flour, 1teaspoonbaking soda, 1teaspoonbaking powder, 1teaspoonsalt, 2Tablespoonsunsweetened,cocoa powder, 2cupssugar, 1cupvegetable oil or canola, 2eggs, 1cupbuttermilk, 2teaspoonsvanilla extract, 1-2oz.red food coloring,more or less depending on how deep you want the color, 1/2cupplain hot coffee,prepared (don't skip this ingredient), 1teaspoonwhite distilled vinegar","Preheat oven to 325 F., Generously grease and flour (2) 9-inch round cake pans. Set aside., In a medium bowl, whisk together flour, baking soda, baking powder, cocoa powder, and salt. Set aside., In a large bowl, combine the sugar and vegetable oil., Mix in the eggs, buttermilk, vanilla, and red food coloring until combined., Stir in the coffee and white vinegar., Combine the wet ingredients with the dry ingredients a little at a time, mixing after each addition, just until combined. (Batter will be thin), Pour the batter evenly into each pan., Bake in the middle rack for 30-40 minutes or until a toothpick inserted in the center comes out with moist crumbs clinging to it. Do not overbake as the cake will continue to cook as it cools., Let pans cool on a cooling rack until the pans are warm to the touch., Slide a knife or offset spatula around the inside of the pans to loosen the cake from the pan., Gently remove the cakes from the pan and let them finish cooling. (The warm cake will be very delicate), Frost the cake with cream cheese frosting when the cakes have cooled completely.","[('flour', 2.0, 'cups'), ('baking soda', 1.0, 'teaspoon'), ('baking powder', 1.0, 'teaspoon'), ('salt', 1.0, 'teaspoon'), ('cocoa powder', 2.0, 'tablespoons'), ('sugar', 2.0, 'cups'), ('vegetable oil', 1.0, 'cup'), ('eggs', 2.0, none), ('buttermilk', 1.0, 'cup'), ('vanilla extract', 2.0, 'teaspoons'), ('red food coloring', 1.0, 'oz'), ('hot coffee', 0.5, 'cup'), ('white distilled vinegar', 1.0, 'teaspoon')]"
20c17513,https://cakesbymk.com/recipe/the-best-pineapple-cake/,The Best Pineapple Cake,"▢2¼cups(270g)flour-plain, all purpose flour, ▢¼cup(25g)cornstarch-also known as cornflour in some countries, ▢2tspbaking powder, ▢½tspbaking soda, ▢½tspsalt, ▢1¼cups(250g)white granulated sugar, ▢3largeeggs-room temperature. I use size 7 eggs, ▢¾cup(160g)unflavoured vegetable oil-I use canola oil, ▢2½cups(566g)canned crushed pineapple-in pineapple juice (not syrup - see note 5). 20 oz can in the US., ▢1tspvanilla essence/extract, ▢1½tbsp(20g)fresh lemon juice","Preheat oven to 160 °C (320°F)with the fan on (see note 3 if you don't have a fan function) and grease two 8 inch cake tins (I use myhomemade cake release). Also line the bottom as this cake is prone to sticking to the bottom of the cake tin., Sift together the flour, cornstarch, baking powder, baking soda and salt. Using a whisk or fork, mix until well combined. Set aside for now., In a large bowl combine the white sugar, eggs, vegetable oil, crushed pineapple, vanilla and lemon juice. Using a whisk, mix until well combined and no lumps remain., Add the dry ingredients into the wet ingredients, and using a spatula, gently fold until just combined. Do not overmix., Evenly distribute the batter into the two cake tins. Drop the cake tins lighly on the counter to remove any large air bubbles and bake for 30-33 minutes or until a toothpick comes out clean., Once baked, allow them to cool in the cake tins for about 20 minutes, and then turn them out onto a wire rack to completely cool before frosting.","[('flour', 270.0, 'grams'), ('cornstarch', 25.0, 'grams'), ('baking powder', 2.0, 'teaspoons'), ('baking soda', 0.5, 'teaspoons'), ('salt', 0.5, 'teaspoons'), ('white granulated sugar', 250.0, 'grams'), ('eggs', 3.0, none), ('vegetable oil', 160.0, 'grams'), ('canned crushed pineapple', 566.0, 'grams'), ('vanilla essence', 1.0, 'teaspoons'), ('fresh lemon juice', 20.0, 'grams')]"
35655a34,https://zoebakes.com/2023/09/15/ultimate-carrot-cake-with-candied-carrot-peels/,Best-Ever Homemade Carrot Cake,"Peels from 2 pounds organic carrotswashed – Make sure you get a nice thick peel, if they are too thin, they will fall apart while you candy them. My peeler produces just the right thickness, but you may need to press a bit harder to get a nice peel., 1cup(200g) sugar, 1cup(240ml) water, 1tablespoonorange blossom water or 1/2 teaspoon orange extract, Pinchkosher salt","Preheat the oven to 200°F / 95°C. Line a baking sheet with a silicone baking mat., In a saucepan over medium-low heat, stir together the simple syrup, orange blossom water, and salt and warm to a gentle simmer. Add the carrot peels and cook just until the peels are turning translucent., Strain the peels in a fine-mesh sieve and then lay them out on the prepared baking sheet., Bake until the carrot peels start to curl up, anywhere from 30-60 minutes, depending on their thickness. Turn the oven temperature to 100°F / 40°C and bake until completely dry; this can take several hours. Transfer to an airtight container and store in a cool, dry place for up to 48 hours.","[('carrot peels', 2.0, 'pounds'), ('sugar', 1.0, 'cup'), ('water', 1.0, 'cup'), ('orange blossom water', 1.0, 'tablespoon'), ('kosher salt', 1.0, none)]"
b14b6c16,https://sugarspunrun.com/the-best-white-cake-recipe/,The Best White Cake Recipe,"▢6Tablespoons(85g)unsalted butter softened to room temperature, ▢⅔cup(160ml)canola oil or vegetable oil, ▢2cup(400g)sugar, ▢1Tablespoonclear vanilla extract, ▢2 ⅔cup(345g)+ 2 Tablespoon all-purpose flour, ▢1Tablespoonbaking powder, ▢1teaspoonsalt, ▢1cup(235ml)milkroom temperature preferred, ▢6large egg whitesroom temperature, ▢Double batch Vanilla Buttercream Frosting(click link for recipe)","Preheat oven to 350F and prepare two 8-inch round cake pans by lining the bottoms with a round of parchment paper and generously greasing and flouring the sides. Be sure to shake out excess flour., In a stand mixer (or using an electric mixer), beat butter on medium-low speed until creamy.6 Tablespoons (85 g)  unsalted butter softened to room temperature, Add sugar and oil and beat until all ingredients are well-combined and creamy.⅔ cup (160 ml)  canola oil or vegetable oil,2 cup (400 g)  sugar, Scrape down the sides and bottom of the bowl and then stir in your vanilla extract.1 Tablespoon   clear vanilla extract, In separate bowl, whisk together your flour, baking powder, and salt.2 ⅔ cup (345 g)  + 2 Tablespoon all-purpose flour,1 Tablespoon   baking powder,1 teaspoon   salt, Measure out your milk.1 cup (235 ml)  milk, With mixer on medium speed, gradually alternate between adding the flour mixture and the milk to the butter mixture, starting and ending with the flour mixture. Stir until each one is almost completely combined before adding the next., Pause occasionally to scrape down sides and bottom of bowl., In separate bowl combine your egg whites and using a hand-mixer on high-speed beat until stiff peaks form.6   large egg whites, Using a spatula, gently fold your egg whites into your batter. Take care to scrape the sides and bottom of the bowl so that ingredients are well-combined, and take care not to over-mix., Evenly divide cake batter into prepared pans., Bake on 350F for 35-40 minutes, or until a toothpick inserted in the center of each cake layer comes out clean or with few crumbs (should not be wet). For best results, rotate your cake pans halfway through baking to ensure even baking., Cakes will be a light golden brown when done baking., Remove cakes from oven and allow to cool for 15 minutes. Run a knife around the inside rim of each pan and invert each onto a cooling rack., Allow to cool completely before covering withbuttercream frosting*.I used a double batch of my recipe (linked above) to thoroughly cover and decorate this cake.Double batch Vanilla Buttercream Frosting","[('butter', 6.0, 'tablespoons'), ('canola oil', 2/3, 'cup'), ('sugar', 2.0, 'cup'), ('vanilla extract', 1.0, 'tablespoon'), ('all-purpose flour', 2+2/3, 'cup'), ('baking powder', 1.0, 'tablespoon'), ('salt', 1.0, 'teaspoon'), ('milk', 1.0, 'cup'), ('egg whites', 6.0, 'large'), ('vanilla buttercream frosting', none, none)]"
b16595d4,https://www.melskitchencafe.com/the-best-chocolate-cake-new-and-improved/,The Best Chocolate Cake {New and Improved},"2cups(284g)all-purpose flour, 2cups(424g)granulated sugar, 1cup(85g)natural, unsweetened cocoa powder, 2teaspoonsbaking soda, 1teaspoonbaking powder, 1teaspoonsalt, 1cup(225g)warm water, 1cup(245g)buttermilk, ½cup(100g)vegetable or canola oil (see note), 2large(100g out of shell)eggs, 2teaspoonsvanilla extract","Preheat the oven to 350 degrees F. Center an oven rack in the middle position., Line the bottom of two 9-inch round cake pans or one 9X13-inch pan (preferably aluminum, not glass) with parchment paper. Lightly grease the bottom and sides with nonstick cooking spray. Set aside., Sift the flour, sugar, cocoa, baking soda, baking powder, and salt into a large bowl., Add the water, buttermilk, oil, eggs, and vanilla., Using a handheld electric mixer or whisk, mix the ingredients until well-combined., Divide the batter evenly between the prepared pans., Bake the cakes for 28-35 minutes until the top springs back lightly to the touch and a toothpick inserted into the middle comes out clean or with moist crumbs., Let the cakes cool for 2-3 minutes in the pan(s). Run a thin knife around the edge and turn onto a cooling rack to cool completely.","[('flour', 2.0, 'cups'), ('sugar', 2.0, 'cups'), ('cocoa powder', 1.0, 'cup'), ('baking soda', 2.0, 'teaspoons'), ('baking powder', 1.0, 'teaspoon'), ('salt', 1.0, 'teaspoon'), ('water', 1.0, 'cup'), ('buttermilk', 1.0, 'cup'), ('oil', 0.5, 'cup'), ('eggs', 2.0, 'large'), ('vanilla extract', 2.0, 'teaspoons')]"
0944da44,https://bromabakery.com/pumpkin-cake-with-cream-cheese-frosting/,The Best Pumpkin Cake EVER,"1 1/2cupspumpkin puree, 1 1/2cupsgranulated sugar, 1cupvegetable oil, 4large eggs, room temperature, 2 teaspoonsvanilla extract, 2cupsall purpose flour, 1 1/2 teaspoonsbaking powder, 2 teaspoonsbaking soda, 2 teaspoonscinnamon, 1 teaspoonnutmeg, 1 teaspoonginger, 1 teaspoonsalt","Preheat oven to 350°F. Grease and flour three 8-inch cake pans and set aside., In a large bowl, combine the pumpkin puree, sugar, vegetable oil, eggs, and vanilla extract. In a separate bowl, combine the flour, baking powder, baking soda, cinnamon, nutmeg, ginger, and salt., Incorporate the dry ingredients into the wet, stirring until well combined., Evenly pour the batter into the prepared pans. Bake for 25-30 minutes minutes, then allow to cool completely before frosting., To make the caramel, in a medium saucepan, heat the sugar on medium-low heat for about 5 minutes. Use a spatula to occasionally stir the sugar, getting to the bottom of the pan., Once the sugar is fully melted and turns a medium gold hue, remove from heat immediately and stir in butter. The mixture will violently bubble. Use your spatula to stir the butter and sugar until they melt together completely., Next, pour in the heavy cream. Use your spatula to stir until everything is combined. Place back on the stove for about 30 seconds, stirring the whole time. Remove from heat, stir in salt, and allow to cool at room temperature while you make your frosting., In a standing mixer with a paddle attachment, cream the butter and cream cheese until light and fluffy, about 2 minutes. Add in the vanilla extract, salt, and powdered sugar and whip to combine, about 2 minutes more., Place the first cake on a plate, then top with a large dollop of frosting. Layer the second and third layers, frosting in between each. Finish with frosting the outside of the cake with the remaining frosting., Place the slightly cooled salted caramel in a squeeze bottle orpiping bagwith a small tip (if it’s feeling too solid, place in the microwave for 10 seconds). Starting from the center, squeeze out the caramel in a tight spiral, going all the way to the edge of the cake. When you’re at the edge of the cake, make small zig-zag-like movements to allow the caramel to fall off the side of the cake., If you’d like, decorate the top of your cake with fresh figs, pomegranate, and blackberries 🙂","[('pumpkin puree', 1.5, 'cups'), ('granulated sugar', 1.5, 'cups'), ('vegetable oil', 1.0, 'cup'), ('eggs', 4.0, none), ('vanilla extract', 2.0, 'teaspoons'), ('all purpose flour', 2.0, 'cups'), ('baking powder', 1.5, 'teaspoons'), ('baking soda', 2.0, 'teaspoons'), ('cinnamon', 2.0, 'teaspoons'), ('nutmeg', 1.0, 'teaspoon'), ('ginger', 1.0, 'teaspoon'), ('salt', 1.0, 'teaspoon')]"
