ID,URL,Recipe Name,Ingredients,Instructions
da5536b7,https://leelalicious.com/healthy-cinnamon-rolls/,Crispy Healthy Cinnamon Rolls Recipe,"['1cupwater', '½cupmilkor almond milk', '¼cupbutteror olive oil or coconut oil', '2teaspoonactive dry yeast', '2teaspoonsugar', '1teaspoonsalt', '⅓cupquick cooking oats', '3tablespoonground flax seedoptional', '2tablespoonchia seedsoptional', '1tablespoonsesame seedsoptional', '3-¾cupall-purpose flouroptionally, use up 50% whole wheat flour or white whole wheat flour']","['In a large bowl of your stand mixer combine combine all ingredients for the cinnamon buns. Use the dough hook to knead into a uniform dough. Alternatively, you could turn the dough out onto the counter and knead by hand.', 'If the dough is still too sticky in the end, add either a tablespoon of olive oil or a few sprinkles of flour to make a smooth dough.', 'Place the dough ball in to a lightly oiled bowl and cover. Let the dough rise in a warm place until doubled in size (45 minutes to 1 hour).', 'In the meantime, combine sugar and cinnamon in a small bowl for the filling.', 'Turn the risen dough out onto a floured surface and roll into a large rectangle with a rolling pin. Brush the dough with ¼ cup of very soft butter. Sprinkle the cinnamon sugar mixture on top.', 'Roll the dough into a log starting from the long side. Cut into about 12 buns with a sharp knife, serrated knife, or unflavored dental floss.', 'Grease a large baking dish (9x13 inches) with butter.', 'Pinch the dough at the bottom of each cut rolls, then place them in the prepared pan. Cover with a lid or clean towel and let the buns rise again until they are significantly bigger (about 45 minutes).', 'Preheat the oven to 375°F and bake the cinnamon buns for about 30 minutes until the tops are golden brown.', 'Stir together powdered sugar, vanilla, melted butter and enough cream/milk to make a smooth glaze. Brush the glaze mix over the baked healthy cinnamon rolls after they have cooled a bit.']","[('water', 1.0, 'cup'), ('milk', 0.5, 'cup'), ('butter', 0.25, 'cup'), ('olive oil', 0.25, 'cup'), ('coconut oil', 0.25, 'cup'), ('active dry yeast', 2.0, 'teaspoon'), ('sugar', 2.0, 'teaspoon'), ('salt', 1.0, 'teaspoon'), ('quick cooking oats', 0.333, 'cup'), ('ground flax seed', 3.0, 'tablespoon'), ('chia seeds', 2.0, 'tablespoon'), ('sesame seeds', 1.0, 'tablespoon'), ('all-purpose flour', 3.75, 'cup')]"
f96ec4cb,https://leitesculinaria.com/77164/recipes-cinnamon-rolls.html,Cinnamon Rolls,"['▢10ounceswarm milk,[about 105°F (40°C)]', '▢2teaspoonsactive dryyeast', '▢6tablespoonsgranulated sugar', '▢5 to 5 1/2cupsbread flour,plus more as needed and for the work surface', '▢1 1/2teaspoonssalt', '▢6tablespoons (3 oz)unsalted butter,melted, plus more for the baking sheet', '▢3largeeggs']","['In the bowl of a standing mixer, stir together by hand the warm milk, yeast, and sugar. Let stand for 5 minutes.', 'Add the flour, salt, butter, and eggs. Using the dough hook, mix until the dough is completely developed, 8 to 10 minutes. (By “completely developed” we mean that the dough should pull away from the sides of the bowl with no extra flour left at the bottom. It’s possible that you may need to add a little more flour if the dough seems sticky. The dough, when completely developed, should be tacky but not sticky.)', 'Remove the dough hook and cover the bowl with plastic wrap. Set the bowl in a warm place and let stand until the dough has doubled in size.']","[('milk', 10.0, 'ounces'), ('yeast', 2.0, 'teaspoons'), ('sugar', 6.0, 'tablespoons'), ('bread flour', 5.0, 'cups'), ('salt', 1.5, 'teaspoons'), ('butter', 3.0, 'ounces')]"
9cbb3747,https://bakeorbreak.com/2014/05/cinnamon-bun-crispy-treats/,Cinnamon Bun Crispy Treats,"['4 tablespoons unsalted butter', '2 tablespoons light corn syrup', '2 to 3 teaspoons ground cinnamon*', 'pinch salt', '10 ounces miniature marshmallows', '6 cups crisp rice cereal, such as Rice Krispies']","['Line a half sheet pan (15 & 1/2""x 10 & 1/2"") with plastic wrap. Spray with cooking spray.**', 'Place butter in a large saucepan. Melt over medium-low heat. Add corn syrup, cinnamon, and salt, and stir to combine. Add marshmallows and stir until melted and mixture is smooth.', 'Remove pan from heat. Add cereal and stir until thoroughly combined.', 'Spread mixture into prepared pan. Allow to cool until it can be handled.', 'Start at a long end and roll into a log, pulling away the plastic wrap as you go. Wrap the log with plastic wrap and chill for at least 15 minutes.']","[('butter', 4.0, 'tablespoons'), ('corn syrup', 2.0, 'tablespoons'), ('cinnamon', 2.0, 'teaspoons'), ('salt', none), ('marshmallows', 10.0, 'ounces'), ('rice cereal', 6.0, 'cups')]"
4aad33ff,https://bakerbynature.com/butter-pecan-gingerbread-cinnamon-buns/,Butter Pecan Cinnamon Buns,"['1cupwhole milk', '4tablespoonsunsalted butter, very soft', '3and 1/2 cups all-purpose flour, divided', '(1) 0.25 oz package rapid rise yeast', '3tablespoonsgranulated sugar', '3/4teaspoonsalt', '1large egg, at room temperature']","['Lightly grease a 9x13-inch baking dish with nonstick baking spray. Set aside.', ""In a small saucepan carefully heat the milk over medium-high just until it comes to a boil.Remove from heat and add in the butter. Stir until it is completely melted, then let mixture cool until it's between 115 and 120 degrees (F)."", 'In the bowl of a stand mixer fitted with the dough hook attachment, combine 2 and 1/2 cups of the flour, yeast, sugar and salt; use a whisk to combine. Whisk in the egg. And then slowly pour in the milk/butter mixture, mixing well to combine.', 'Place to dough hook into the bowl and turn the mixer on low speed. Add the remaining flour, a 1/4 cup at a time, mixing well after each addition, and using a spatula to scrape down the sides as needed.', 'Once all of the flour has been added, increase the mixer to medium speed and beat for 5 minutes.', 'Remove the dough from the bowl. On a lightly floured surface, gently knead the dough into a smooth and neat ball, about 5 or 6 times.', 'Place the ball of dough back into the bowl and cover the bowl tightly with a piece of saran wrap. Set aside for 60 minutes, or until the dough has doubled in size.']","[('milk', 1.0, 'cup'), ('butter', 4.0, 'tablespoon'), ('flour', 3.5, 'cup'), ('yeast', 0.25, 'oz'), ('sugar', 3.0, 'tablespoon'), ('salt', 0.75, 'teaspoon'), ('egg', 1.0, none)]"
7e2162bf,https://www.thevanillabeanblog.com/cinnamon-rolls/,Pillowy Soft Cinnamon Rolls,"['4large eggs, at room temperature', '3/4cupwarm whole milk (100 to 110F [35 to 42C])', '1/4cup[85 g] honey', '4cups[568 g] all-purpose flour', '2 1/4teaspoonsinstant yeast', '2teaspoonssalt', '10tablespoons[1 1/4 sticks or 142 g] unsalted butter, at room temperature, cut into 1 in [2.5 cm] pieces']","['Grease a large bowl.', 'In a large liquid measuring cup, combine the eggs, milk, and honey.', 'In the bowl of a stand mixer fitted with a paddle, mix the flour, yeast, and salt and stir on low to combine. Add the egg mixture and mix on low to combine. With the mixer on low, add the butter, one piece at a time. When all the butter has been added, increase the speed to medium and beat the butter into the dough, until all the little butter pieces are incorporated, 1 minute. Transfer the dough to the prepared bowl. The dough will be very sticky and you will need a spatula to scrape the dough into the bowl.', 'Cover the bowl with plastic wrap and let rise for 30 minutes. Place your fingers or a spatula underneath the dough and gently pull the dough up and fold it back over itself. Turn the bowl and repeat this folding again. Continue 6 to 8 more times, until all the dough has been folded over on itself. Re-cover the bowl with plastic and let rise for 30 minutes. Repeat this series of folding 3 more times, for a rise time of 2 hours and a total of 4 foldings (see the GIF above on how to do this folding). Tightly cover the bowl with plastic wrap and refrigerate overnight or up to 72 hours.']","[('eggs', 4.0, none), ('milk', 0.75, 'cup'), ('honey', 0.25, 'cup'), ('flour', 4.0, 'cups'), ('yeast', 2.25, 'teaspoons'), ('salt', 2.0, 'teaspoons'), ('butter', 10.0, 'tablespoons')]"
233089d7,https://abajillianrecipes.com/2023/09/11/peach-crisp-cinnamon-rolls/,Peach Crisp Cinnamon Rolls,"['3cupspeeled and chopped fresh peaches(about 20 ounces)*', '⅓cupgranulated sugar', '5teaspoonscornstarch', 'Pinchof salt']","['In a medium saucepan, heat the peaches over medium heat until they soften and their juices start to release, about 2-3 minutes. In a separate bowl, combine the sugar, cornstarch, and salt. Add mixture to the peaches and continue cooking until it begins to form a thick sauce, about 2-4 minutes. Remove from heat, pour into a shallow bowl and place in the refrigerator to cool completely.']","[('peaches', 3.0, 'cups'), ('sugar', 0.33, 'cup'), ('cornstarch', 5.0, 'teaspoons'), ('salt', 1.0, 'pinch')]"
6649ad43,https://maffies.com/crispy-cinnamon-rolls-recipe/,Crispy Cinnamon Rolls Recipe,"['550grFlour', '2tspInstant Yeast', '½tspSalt', '80grSugar', '1tspVanilla Extract', '1cupMilk', '½lrgEgg(use the other half for glazing)', '75grSoft Butter']","['Add the flour, instant yeast, and salt to your mixer bowl', 'Mix milk, vanilla essence, and the ½ egg together and add to the flour mixture', 'Add the soft butter', 'Mix and knead until the dough is smooth.', 'Remove the dough and cover. Allow to rest for 1 hour. It should double in size.', 'Knead the dough, cover again and leave for a further 40 minutes for proofing.', 'While proofing prepare the sugar filling below.']","[('flour', 550.0, 'grams'),   ('instant yeast', 2.0, 'teaspoons'),   ('salt', 0.5, 'teaspoons'),   ('sugar', 80.0, 'grams'),   ('vanilla extract', 1.0, 'teaspoons'),   ('milk', 1.0, 'cup'),   ('egg', 0.5, 'large'),   ('butter', 75.0, 'grams')]"
10d4fb66,https://cuminandyin.com/twisted-cinnamon-rolls/,Twisted Cinnamon Rolls – crispy and soft,"['275gall purpose flour / wheat flour', '150goat flour', '25gfresh yeast*', '2.5dloat milkor any other vegan milk', '40gsugar', '0.5tspsalt', '2tspcardamom', '75gvegan butter']","['Heat the oat milk to a lukewarm temperature and mix with the yeast, sugar, salt and cardamom. Make sure the yeast is properly dissolved before adding flour.', ""Add the flour to the mixture and stir until it forms a firm dough. It should be fairly dry in the texture. (I used a kitchen machine, and haven't tried a hand mixer yet. By hand is also possible)"", 'Cut the vegan butter into cubes and add it to the mixture. This will give the dough a blank surface. Mix until the butter is properly incorporated into the dough.', 'Let the dough sit for about 1 hour to rise.']","[('flour', 275, 'grams'), ('flour', 150, 'grams'), ('yeast', 25, 'grams'), ('milk', 2.5, 'cups'), ('sugar', 40, 'grams'), ('salt', 0.5, 'teaspoon'), ('cardamom', 2, 'teaspoons'), ('butter', 75, 'grams')]"
9660f9b1,https://www.tasteofhome.com/recipes/morning-crispies/,Morning Crispies,"['1 package (1/4 ounce) active dry yeast', '1/2 cup warm water (110° to 115°)', '1 cup warm whole milk (110° to 115°)', '2 cups sugar, divided', '1/2 cup canola oil', '1-1/4 teaspoons salt', '2 large eggs, room temperature', '1-1/2 teaspoons lemon extract', '5-1/2 to 6 cups all-purpose flour', '6 tablespoons butter, softened, divided', '1 tablespoon ground cinnamon']","['In a large bowl, dissolve yeast in water; let stand for 5 minutes. Add milk, 1/2 cup sugar, oil, salt, eggs, extract and 2 cups flour; beat well. Stir in enough remaining flour to make a soft dough.', 'Turn onto a floured surface; knead until smooth and elastic, 6-8 minutes. Place in a greased bowl, turning once to grease top. Cover and let rise in a warm place until doubled, about 1 hour.', 'Punch down dough. Turn onto a floured surface, roll out into a 1/4-in.-thick rectangle. Spread with 2 tablespoons butter and sprinkle with 1/3 cup sugar. Fold dough in half lengthwise; roll out to 1/4-in. thickness. Spread with 2 tablespoons butter and sprinkle with 1/3 cup sugar.', 'Fold in half widthwise; roll to 1/4-in. thickness. Spread with remaining butter and sprinkle with 1/3 cup sugar. Fold in half lengthwise; roll out to an 18x10-in. rectangle. Combine cinnamon and remaining 1/2 cup sugar; sprinkle half over the dough to within 1/4 in. of all edges.', 'Roll up jelly-roll style, starting with a short side; pinch seam to seal. Cut into 1/2-in. slices and place on greased baking sheets (4 to 6 slices per sheet). Cover with waxed paper and flatten with palm of hand. Sprinkle with remaining cinnamon sugar. Let stand for 30 minutes.', 'Preheat oven to 400°. Bake until golden brown, 12-15 minutes. Immediately remove from pans to wire racks to cool completely.']","[('active dry yeast', 1.0, 'package'), ('water', 0.5, 'cup'), ('whole milk', 1.0, 'cup'), ('sugar', 2.0, 'cup'), ('canola oil', 0.5, 'cup'), ('salt', 1.25, 'teaspoons'), ('eggs', 2.0, none), ('lemon extract', 1.5, 'teaspoons'), ('all-purpose flour', 6.0, 'cups'), ('butter', 6.0, 'tablespoons'), ('ground cinnamon', 1.0, 'tablespoon')]"
bb85a849,https://inthemidnightkitchen.com/puff-pastry-cinnamon-buns/,Puff Pastry Cinnamon Buns,"['1 sheet of store bought puff pastry (mine is from Woolworth’s)', '1/2  cup + 1 tbsp. of softened butter', '3-4 tsp. cinnamon powder', '3 tbsp. granulated sugar', '3 tbsp. brown sugar', '1 egg for the egg wash/ melted butter', 'Extra sugar for sprinkling']","['In one roll of puff pastry, use half of the roll. Roll it out, dust lightly with some flour and roll with a rolling [in, only until the creases are out. We don’t want to make the puff pastry too thin.', 'When your butter is nice and soft, place it in a mixer with a creaming attachment (or use a wooden spoon to smooth it out), and in the sugar and cinnamon and mix well.', 'Try not to use more butter if you feel like it is not enough, rather sprinkle more sugar and cinnamon. Too much butter will drown out the pastry during the baking.', 'Preheat your oven to 180 degrees C.', 'Now that you have a rectangle base of pastry, smear the butter mixture over the pastry, while leaving a 1cm border.', 'Then fold the pastry in half lengthwise. The pastry should be folded so that it’s vertical and not horizontal. Once you’re ready to cut, use a sharp knife or pizza cutter and cut lengthwise again from the top down. You can cut 5-7 pieces, but the thinner they are the smaller they will be.', 'Twist the single piece over and over again and once you can’t twist it any further, roll the piece closest to you upwards and inwards into the pastry to create a circle. Think of a spiral, that’s what you are trying to create.', 'The ends at the end can be tucked underneath the spiral once it is done so it doesn’t unravel during baking. Make sure to egg wash lightly before placing it in the oven. You can sprinkle some sugar on top after the egg wash if you wish.', 'Bake the buns for 25-28 minutes (with fan assist ideally). The outside should be nice and golden and the inside should be cooked through but also soft.']","[('puff pastry', 1.0, 'sheet'), ('butter', 0.5, 'cup'), ('butter', 1.0, 'tbsp'), ('cinnamon powder', 3.0, 'tsp'), ('granulated sugar', 3.0, 'tbsp'), ('brown sugar', 3.0, 'tbsp'), ('egg', 1.0, none), ('sugar', 1.0, none)]"
