ID,URL,Recipe Name,Ingredients,Instructions,Processed Ingredients
1f916611,https://www.thechunkychef.com/salted-chocolate-chip-cookies/,Salted Chocolate Chip Cookies,"1 1/4 cups all-purpose flour, 1 tsp baking soda, 1/2 cup salted butter (at room temperature, 1 stick), 1/2 cup packed light brown sugar, 1/3 cup + 2 tsp granulated sugar, 1 large egg (at room temperature), 1 tsp vanilla extract (or vanilla bean paste), 1 1/2 cups semisweet chocolate chips ((more or less, to your tastes)), sea salt flakes (for sprinkling)","Add flour and baking soda to a mixing bowl and whisk for 15 seconds to incorporate and make them fluffy., In a separate bowl that's compatible with a stand mixer (or you can use a regular mixing bowl and use a hand mixer), add softened butter and both sugars. Beat with paddle attachment for about 2 minutes, until mixture is smooth and fluffy., Add egg and vanilla, beat on LOW speed until combined., Add flour, half the mixture at a time, beating on LOW speed until JUST combined after each addition. Don't overmix, or your cookies won't be soft and tender., Add chocolate chips and stir together with a wooden spoon., Cover bowl and chill for at least 30 minutes., minutes before you want to bake, preheat oven to 350 degrees F. Line a baking sheet with parchment paper and set aside., Use a large cookie scoop (or a 1/4 cup filled about 2/3 of the way), scoop round balls of dough onto parchment paper about 2 inches apart. I baked 6 cookies per sheet., Press a couple chocolate chips into the tops of the balls of dough, and bake about 10-12 minutes, or until edges are lightly golden brown and tops of cookies look a little underdone. (mine took 11 minutes)., Sprinkle top of baked cookies with some sea salt flakes., Allow cookies to cool on the baking sheet for 5 minutes, then transfer to a cooling rack to finish cooling.","[('flour', 1.0, 'cups'), ('baking soda', 1.0, 'tsp'), ('butter', 0.5, 'cups'), ('brown sugar', 0.5, 'cups'), ('granulated sugar', 0.333, 'cups'), ('egg', 1.0, None), ('vanilla extract', 1.0, 'tsp'), ('chocolate chips', 1.5, 'cups'), ('salt flakes', 1.0, None)]"
dc3da3c9,https://sugargeekshow.com/recipe/sea-salt-chocolate-chip-cookies/,Sea Salt Chocolate Chip Cookies,"6 ounces unsalted butter, 7 ounces brown sugar, 2 ounces white sugar, 2 large eggs, 1 1/2 Tablespoons vanilla extract, 8 ounces all purpose flour, 1 teaspoon baking soda, 1/2 teaspoon salt, 16 ounces semi-sweet chocolate chips, 1 teaspoon sea salt flakes (for sprinkling on top of cookies)","Preheat your oven to 375ºF. line a pan with parchment paper or a silicone baking mat and set it aside., Place your butter into a medium-size saucepan and bring it to a simmer over medium-high heat, whisking constantly., Continue whisking the butter until it begins to turn a golden brown color and releases a nutty aroma. Do not walk away from the butter or it can get burned. Set it aside to cool until it no longer feels warm. You can put it in the fridge in a shallow pan to speed up the process., Once your butter has cooled, place it into the bowl of your stand mixer with the whisk attachment. Add the white and brown sugar and cream until light and fluffy (3-4 minutes on medium speed), While mixing on low, add in your eggs, letting the first one mix in fully before adding in the second one., Then add in the vanilla and whisk to combine., Remove the bowl from the stand mixer. Add in your flour, baking soda, and the first quantity of salt and hand mix with a spatula until just combined., Fold in your chocolate chips with a spatula. Do not over-mix your dough., Cover your dough with plastic wrap and place it into the fridge to rest for a minimum of 30 minutes or up to 24 hours., Use a small cookie scoop (roughly two Tablespoons) to scoop your dough and place them onto your cookie sheet about 2"" apart., Add a few chocolate chips on top of the balls if you want to make them look extra pretty after baking, Bake your cookies for 11-12 minutes or just until they start to get golden brown around the edges. It's better to under-bake then to over-bake. This makes the cookies extra soft and chewy., Immediately after your remove the cookies from the oven, sprinkle some more sea salt on top of the cookies., Let the cookies cool for 5 minutes on the cookie sheet before carefully transferring them to a cooling rack (if you can stop yourself from eating them!)","[('butter', 6.0, 'ounces'), ('sugar', 7.0, 'ounces'), ('sugar', 2.0, 'ounces'), ('eggs', 2.0, None), ('vanilla extract', 1.5, 'tablespoons'), ('flour', 8.0, 'ounces'), ('baking soda', 1.0, 'teaspoon'), ('salt', 0.5, 'teaspoon'), ('chocolate chips', 16.0, 'ounces'), ('sea salt flakes', 1.0, 'teaspoon')]"
b5ce6060,https://cookiesandcups.com/salted-brown-butter-chocolate-chip-cookies/,Brown Butter Chocolate Chip Cookies,"1 cup salted butter, 1 cup light brown sugar, 1/2 cup granulated sugar, 2 large eggs, 2 teaspoons vanilla extract, 1 teaspoon baking soda, 1 teaspoon coarse sea salt, 2 1/2 cups all purpose flour, 2 cups semi-sweet chocolate chips","In a medium saucepan over medium heat melt the butter and bring it to a boil. Once it starts boiling swirl the pan, or stir constantly until the butter passes the foamy phase and becomes a deep amber color., Remove from heat and allow butter to cool for 20 minutes., While the butter is cooling preheat the oven to 350°F., Line a baking sheet with parchment paper and set aside., Add the light brown sugar, granulated sugar, eggs, vanilla, baking soda, and salt into the cooled butter and stir to combine using a rubber spatula or wooden spoon., Stir in the flour until the dough comes together and the ingredients are evenly incorporated., Finally mix in the chocolate chips., Using a large cookie scoop (3 tablespoon sized), scoop the dough out onto the lined baking sheet, 2 inches apart. *See note in the post for my trick to pretty cookie tops!, Bake the cookies for 10 – 12 minutes until the edges are lightly golden and the centers are just set., Remove the baking sheet from the oven and allow the cookie to cool for 5 minutes on the baking sheet before transferring them to a wire rack to cool completely., If desired, sprinkle a small amount of flaked sea salt on top of the cookies as they are cooling.","[('butter', 1.0, 'cup'), ('sugar', 1.0, 'cup'), ('sugar', 0.5, 'cup'), ('eggs', 2.0, None), ('vanilla extract', 2.0, 'teaspoons'), ('baking soda', 1.0, 'teaspoon'), ('sea salt', 1.0, 'teaspoon'), ('flour', 2.5, 'cups'), ('chocolate chips', 2.0, 'cups')]"
5630e44e,https://cooking.nytimes.com/recipes/1019152-salted-chocolate-chunk-shortbread-cookies,Salted Chocolate Chunk Shortbread Cookies,"1 cup plus 2 tablespoons/255 grams total salted butter (2¼ sticks), cold (room temperature if you're using a handheld mixer), cut into ½-inch pieces (see note), 1/2 cup/100 grams granulated sugar, 1/4 cup/55 grams light brown sugar, 1 teaspoon vanilla extract, 2 1/2 cups/325 grams all-purpose flour (see Tip), 6 ounces/170 grams semi-sweet or bittersweet dark chocolate, chopped (not too fine; you want chunks, not little shards), 1 large egg, beaten, Demerara sugar, for rolling, Flaky sea salt, for sprinkling","Line two rimmed baking sheets with parchment paper. Using a stand mixer fitted with the paddle attachment or an electric hand mixer, beat the butter, both sugars and vanilla on medium-high till it’s super light and fluffy (3 to 5 minutes for a stand mixer; 6 to 8 for a hand mixer). Using a spatula, scrape down the sides of the bowl and, with the mixer on low, slowly add the flour, followed by the chocolate chunks, and mix just to blend. If necessary, knead the dough with your hands to make sure the flour is totally incorporated. At this point, the dough should be smooth and feel like Play-Doh with no pockets of flour., Divide the dough in half, placing each half on a large piece of plastic wrap. Fold the plastic over so that it covers the dough to protect your hands from getting all sticky. Using your hands, form the dough into a log shape; rolling it on the counter will help you smooth it out, but don’t worry about getting it totally perfect. (Don't be afraid to make them compact. Shortbread is supposed to be dense. That's part of why it's so good.) You can also do this using parchment paper, if you prefer, but plastic wrap is easier when it comes to shaping the log. Each half should form a 6-inch log, 2 to 2¼ inches in diameter. Chill until totally firm, about 2 hours., Heat the oven to 350 degrees. Brush the outside of the logs with the beaten egg and roll them in the demerara sugar (this is for those really delicious, crisp edges)., Using a serrated knife, carefully slice each log into ½-inch-thick rounds (if you hit a chocolate chunk, slowly saw back and forth through the chocolate). If the cookies break or fall apart, just press them back together — the dough is very forgiving. Place them on the prepared baking sheets about 1 inch apart (they won’t spread much). Sprinkle with flaky salt. Bake until the edges are just beginning to brown, 12 to 15 minutes. Let cool slightly before eating them all.","[('butter', 255.0, 'grams'), ('sugar', 100.0, 'grams'), ('sugar', 55.0, 'grams'), ('vanilla extract', 1.0, 'teaspoon'), ('flour', 325.0, 'grams'), ('chocolate', 170.0, 'grams'), ('egg', 1.0, None)]"
8ccf9309,https://www.graceandgoodeats.com/salted-caramel-cookies/,Salted Caramel Cookies,"3 tbsp butter (, melted), 6 tbsp brown sugar, 1 egg yolk, 1/2 tsp vanilla extract, 1/2 cup all-purpose flour, 1/4 tsp baking soda, 1/8 tsp salt, 1/3 cup white chocolate chips, 1/4 cup caramel bits ((or 6 unwrapped caramels)), 1 tbsp heavy cream, flaky sea salt","Preheat oven to 325ºF., In a small bowl, whisk the butter and sugar together., Add the vanilla and egg yolk. Whisk until smooth and creamy., Sprinkle the flour, baking soda, and salt over the wet ingredients, and stir until just mixed., Fold in the white chocolate chips. Set aside., Add the caramel bits and heavy cream to a microwave safe bowl. Microwave at 50% power in 30 second increments, stirring after each time, until smooth and fully combined. Allow the caramel mixture to cool slightly- not so much that it becomes thick and hard, but you don't want it piping hot either., Scoop the dough into 8-12 portions depending on how many cookies you want. They will spread some- so leave at least 1-2 inches between each scoop of dough., Use a spoon to drizzle caramel over each ball of cookie dough. (Note: You will have caramel leftover. You just want a thin drizzle on each ball of dough, don't try to coat the entire surface. See image above.), Bake for 12-15 minutes. Do NOT overbake. They may look doughy on the inside- but they will continue to bake while they cool., Immediately top with flaky sea salt after removing from the oven., Cool on the cookie sheet for 5 minutes then transfer to a wire rack.","[('butter', 3.0, 'tbsp'), ('brown sugar', 6.0, 'tbsp'), ('egg yolk', 1.0, None), ('vanilla extract', 1.0, 'tsp'), ('all-purpose flour', 0.5, 'cup'), ('baking soda', 0.25, 'tsp'), ('salt', 0.125, 'tsp'), ('white chocolate chips', 0.333, 'cup'), ('caramel bits', 0.25, 'cup'), ('heavy cream', 1.0, 'tbsp')]"
ea2ad666,https://cookingwithkarli.com/sea-salt-chocolate-chip-cookies/,Chocolate Chip Sea Salt Cookies,"1 cup salted butter, 1 cup brown sugar, 1/2 cup granulated sugar, 1 egg, 1 tsp vanilla, 2 1/4 cup all purpose flour, 1 tsp baking soda, 1/2 tsp salt, 2 cups chocolate chips (use your favorite), flakey sea salt (for garnish)","In the bowl of a stand mixer, cream together the butter and sugars until smooth, light in color and fluffy. This will take a few mintues., Scrape the sides of the bowl and mix in the egg add vanilla., Once completely combined, stop the mixer and add in the flour, baking soda and salt. Mix until combined., Once the dry ingredients are mixed in, add in the chocolate chips and mix until thoroughly distributed., Measure out the dough into 1/4 cup portions for large cookies or 2 tbsp portions for smaller cookies., Roll the dough into a ball, break the dough in half and then press the two halves back together, leaving the jagged edges up for a textured cookie on top. (this is optional, I just like how the cookies look, feel free to just leave them in a ball!), Repeat this with all of the cookie dough., Bake at 350° for 13-15 minutes for the large cookies or 9-11 minutes for the smaller cookies, or until the cookie dough has spread and the edges are turning golden brown., Immediately after taking the cookies out, sprinkle with flakey sea salt., Allow the cookies to cool on the pan for 10 minutes. Serve warm.","[('butter', 1.0, 'cup'), ('sugar', 1.0, 'cup'), ('sugar', 0.5, 'cup'), ('egg', 1.0, None), ('vanilla', 1.0, 'tsp'), ('flour', 2.25, 'cup'), ('baking soda', 1.0, 'tsp'), ('salt', 0.5, 'tsp'), ('chocolate chips', 2.0, 'cup')]"
b1cc1d9d,https://scientificallysweet.com/salted-pistachio-chocolate-chunk-cookies/,Salted Pistachio Chocolate Chunk Cookies,"½ cup 60g shelled salted roasted pistachios, 1 tbsp 15ml olive oil, 7 tbsp 100g salted butter, (softened), ½ cup 110g packed light brown sugar, ¼ cup 50g granulated sugar, 1 large egg (at room temperature), ½ tsp pure vanilla extract, ¼ tsp pure almond extract, ½ tsp baking soda, ¼ tsp salt, 1 cup plus 2 tbsp 160g all-purpose flour, 1 tsp matcha powder, 1 cup 5oz/142g dark chocolate, 2 tbsp ground pistachios (for topping)","Prepare the pistachio paste. Place pistachios in a small food processor and pulse until very finely ground. Add oil and grind until the mixture forms a thick paste. It won’t be smooth like peanut butter, but it will be thick and coarse., Prepare the cookie dough. Beat butter with both sugars in the bowl of a stand mixer fitted with the paddle attachment or using an electric hand mixer for 3 minutes on medium speed until pale and fluffy. Scrape down the sides of the bowl and beat in egg and extracts until evenly incorporated and smooth. Mix in pistachio paste., Combine flour with matcha powder, baking soda and salt in a medium bowl and whisk to blend evenly. Add it to the butter mixture and fold it in. Add chocolate chunks and fold them in until evenly distributed. The dough will be soft and sticky., Cover the bowl and refrigerate for 2 hours., Preheat oven to 350°F. Line two large baking sheets with parchment paper., Scoop about 2 tablespoons of chilled dough and roll into smooth balls, then place onto prepared baking sheets spacing them at least 2 inches apart since these cookies spread a lot (do not make the dough balls too big). Sprinkle the tops with extra ground pistachios. Bake for 10-12 minutes until golden around the edges. Transfer pan to a wire rack and let cookies cool for a minute before transferring individually to the rack to finish cooling.","[('pistachios', 60.0, 'g'), ('olive oil', 15.0, 'ml'), ('butter', 100.0, 'g'), ('brown sugar', 110.0, 'g'), ('granulated sugar', 50.0, 'g'), ('egg', 1.0, None), ('vanilla extract', 0.5, 'tsp'), ('almond extract', 0.25, 'tsp'), ('baking soda', 0.5, 'tsp'), ('salt', 0.25, 'tsp'), ('all-purpose flour', 160.0, 'g'), ('matcha powder', 1.0, 'tsp'), ('dark chocolate', 142.0, 'g'), ('ground pistachios', 2.0, 'tbsp')]"
b417bd57,https://www.yourbakingbestie.com/salted-caramel-cutout-cookies/,Behold the AMAZING Salted Caramel Cutout Cookie Recipe!,"1 cup (226g) Unsalted Butter (Chilled), 1 cup (200g) Granulated White Sugar, 1 tsp (5ml) Vanilla Extract, 2 tsp (10ml) Caramel Flavoring (LorAnn's Caramel Flavoring), 1 Large Egg (Chilled), 2 tsp (9.6g) Baking Powder, 1 tsp (6g) Salt, 3 cups (360g) All-Purpose Flour","Preheat oven to 350 degrees F., I use parchment paper on my cookies sheets and reuse them for all my batches that day., Cream butter and sugar until smooth, at least 2 minutes., Beat in caramel flavoring, vanilla and egg., In a separate bowl, combine baking powder, salt and flour. Add to wet ingredient mixing bowl a little at a time., Mix until thoroughly blended. Dough should be pulling away from the bowl., Chilling the dough is not necessary! I have tried many different ways of rolling out dough and always come back to the old-fashioned way; a sheet of wax paper that has been floured., I usually divide the dough into 3 chunks and roll out each onto a floured surface and cut. In my experience, this dough works best for cookies at 1/4"" thick. I use my Joseph Joseph rolling pin which does the measuring for me – genius!, Bake at 350 for 7-8 minutes, depending on size of cookie. I also suggest baking similar-sized cookies together., Cool cookies on cookie sheet until firm enough to transfer to cooling rack.","[('butter', 1.0, 'cup'), ('sugar', 1.0, 'cup'), ('vanilla extract', 1.0, 'tsp'), ('caramel flavoring', 2.0, 'tsp'), ('egg', 1.0, None), ('baking powder', 2.0, 'tsp'), ('salt', 1.0, 'tsp'), ('all-purpose flour', 3.0, 'cups')]"
236ead40,https://www.yourbakingbestie.com/salted-caramel-stamped-cookie-recipe/,Undeniable Salted Caramel Stamped Cookie Recipe,"1 cup (226g) Unsalted Butter (Chilled), 1 cup (200g) Granulated Sugar, 1 Large Egg (Chilled), 1 tsp (5ml) Vanilla Extract, 2 tsp (10ml) Caramal Flavoring (LorAnn's Caramel Flavoring), 1.5 tsp (6g) Baking Powder, 1 tsp (6g) Salt, 3 cups (360g) All-Purpose Flour","Preheat oven to 350 degrees F., I use parchment paper sheets on my cookie sheets and reuse them for all my batches that day., In your mixer bowl, cream butter and sugar until smooth, at least 2 minutes, Beat in caramel flavoring, vanilla extract and egg., In a separate bowl, combine baking powder, salt and flour. Add to wet ingredient mixing bowl a little at a time., Mix until thoroughly blended., Chilling the dough is not necessary! Although, you're welcome to chill your dough if you prefer. You'll achieve perfect designs regardless of whether you chill this dough or not., If using a wooden cookie stamp:, I usually divide the dough into 3 chunks and roll out each onto a floured surface and cut. I make our cookies 1/4"" thick and use my Joseph Joseph rolling pin which does the measuring for me – genius!, Use wooden stamp to gently press down into the dough to create the design., Use a round cookie cutter to cut the dough and place on parchment-lined cookie sheet., Bake at 350 degrees for 8-9 minutes., Cool cookies on cookie sheet until firm enough to transfer to cooling rack., If using a metal cookie stamp:, Roll dough into balls slightly larger than golf ball size., Roll dough balls in granulated sugar. Dip stamp in sugar., Using cookie stamp, center over ball and push down hard. Dough will squeeze out around stamp. Slowly lift/remove stamp., If dough sticks to stamp, use a lip of the dough to carefully peel the cookie dough off the stamp and place on cookie sheet., Trim any excess dough around the stamped design, using a circle cookie cutter or pen blade for baking., Bake at 350 for 11-12 minutes., Cool cookies on cookie sheet until firm enough to transfer to cooling rack.","[('unsalted butter', 1.0, 'cup'), ('granulated sugar', 1.0, 'cup'), ('large egg', 1.0, None), ('vanilla extract', 1.0, 'tsp'), ('caramal flavoring', 2.0, 'tsp'), ('baking powder', 1.5, 'tsp'), ('salt', 1.0, 'tsp'), ('all-purpose flour', 3.0, 'cup')]"
e304d4d9,https://www.ambitiouskitchen.com/chewy-double-chocolate-chip-cookies-sea-salt/,Salted Brownie Cookies,"1 cup all purpose flour, ⅓ cup unsweetened cocoa powder, ½ teaspoon baking soda, ¼ teaspoon salt, ½ cup coconut oil, melted and cooled, ¾ cup dark brown sugar, 1 egg, 2 teaspoons vanilla extract, 1 teaspoon espresso powder or instant coffee, optional, ¾ cup chocolate chips, coarse sea salt, for sprinkling","Preheat oven to 350 degrees F. Whisk together flour, cocoa powder, baking soda and salt; set aside., In a large bowl, beat cooled coconut oil, brown sugar, egg, vanilla, and espresso powder (if using) until creamy and smooth; about 1-2 minutes., Add in flour mixture and incorporate until well combined. Fold in chocolate chips., Roll into small dough balls or use a small cookie scoop to drop on a baking sheet and flatten slightly with the palm of your hand., Bake 8-10 minutes. I like to take mine out at 9 minutes so they remain soft. Sprinkle with sea salt immediately., Cool on cookie sheet for a few minutes then transfer to wire rack to finish cooling. Makes about 16 cookies.","[('flour', 1.0, 'cup'), ('cocoa powder', 0.33, 'cup'), ('baking soda', 0.5, 'teaspoon'), ('salt', 0.25, 'teaspoon'), ('coconut oil', 0.5, 'cup'), ('brown sugar', 0.75, 'cup'), ('egg', 1.0, None), ('vanilla extract', 2.0, 'teaspoon'), ('espresso powder', 1.0, 'teaspoon'), ('chocolate chips', 0.75, 'cup'), ('sea salt', 1.0, None)]"
