ID,URL,Recipe Name,Ingredients,Instructions,Processed Ingredients
8e6d72c2,https://natashaskitchen.com/mango-cake-recipe-video/,Mango Cake Recipe (VIDEO),"6 large eggs (room temp), 1 cup granulated sugar, 1 cup all-purpose flour, 1/2 tsp baking powder, 1 lb fresh mangos ((2 medium) peeled and thinly sliced into strips), 1 lb fresh mangos ((2 medium) 1 1/2 cups puréed), 1 to 4 Tbsp sugar (if needed), 16 oz cream cheese (2 packages, softened), 1 cup unsalted butter ((16 Tbsp), softened), 2 1/2 cups powdered sugar, 2 tsp vanilla extract","Prep: Pre-heat oven to 350˚F. Line the bottoms of two 9"" cake pans with parchment (do not grease)., In the bowl of a stand mixer fitted with whisk, beat 6 eggs on high speed 1 min until foamy. Gradually add 1 cup sugar then continue beating on high for 8 min. It will be whipped and forming thick ribbons when you pull up the whisk.*, In a separate bowl, whisk together 1 cup flour and 1/2 tsp baking powder., Sift flour into batter 1/3 at a time, folding between each addition, just until no flour streaks remain. Scrape from the bottom to catch any hidden flour pockets. Divide evenly between prepared cake pans and bake at 350˚F for 23-28 min (my oven takes 25 min). Tops should be golden brown and spring back when poked lightly., Run a knife or thin spatula around edges to loosen and invert onto wire rack. Peel back parchment paper right away and let cakes cool right-side-up to room temp before cutting them in half., How to Make Cream Cheese Frosting:, In the bowl of a stand mixer fitted with whisk attachment, combine 16 oz cream cheese, 1 cup butter, 2 1/2 cups powdered sugar and 2 tsp vanilla. Beat on low to combine then increase to high and beat 5-6 mins, scraping down the bowl as needed. Frosting should be whipped, soft and spreadable. Transfer 1 cup frosting to piping bag fitted with large open star tip and refrigerate until ready to use for the topping., How to Cut Mango:, A mango has one long, flat seed in the center of the fruit that goes from stem to nose. Slice off the sides around the seeds of all 4 whole mangos resulting in 8 halves. Set aside 4 halves - you will need them to decorate the top. Dice remaining 4 halves and scoop them out of their skin then transfer these to a blender and process until puréed. Taste the mango purée and add sugar to taste if needed., How to Assemble the Mango Cake:, Place the first sliced cake layer on a platter and spread with 1/2 cup mango purée. On the second cake layer, spread 1/2 cup frosting and place it frosting-side-down on the first layer so the cream and mango are hugging. Repeat with remaining layers then cover top and sides with remaining frosting. Pipe reserved frosting around the top border of your cake., Peel and thinly slice 4 reserved mango halves, cutting some strips long way and some wide. Layer mango slices in rings around the cake, starting with the longest pieces and overlapping each piece slightly until only a 1/2"" space is left in the center. Roll a long thin strip of mango into a coil and place it in the center. Cake can be served right away or refrigerated 2 hours for easier slicing. It keeps well covered and refrigerated up to 3 days.","[('eggs', 6.0, 'large'), ('sugar', 1.0, 'cup'), ('flour', 1.0, 'cup'), ('baking powder', 0.5, 'tsp'), ('mangos', 1.0, 'lb'), ('mangos', 1.5, 'cups'), ('sugar', 4.0, 'tbsp'), ('cream cheese', 16.0, 'oz'), ('butter', 1.0, 'cup'), ('powdered sugar', 2.5, 'cups'), ('vanilla extract', 2.0, 'tsp')]"
f272101d,https://glutenfreecuppatea.co.uk/2019/11/05/gluten-free-oreo-drip-cake-recipe/,My '70K' Gluten Free 'Oreo' Drip Cake Recipe (dairy free option),"350 g butter (or dairy free alternative), 500 g caster sugar, 6 large eggs, 440 g gluten free plain flour, 50 g cocoa powder (ensure it's dairy free if necessary), 4 tsp baking powder (ensure its gluten free), 1/4 tsp xanthan gum (this is really important as we are using plain flour in this recipe), 100 g yoghurt, 200 g dark chocolate (melted), 200 ml boiling water, 440 g butter (or dairy free alternative - Stork Hard Baking Block, softened), 1 kg icing sugar, 1 packet (160g of gluten free and dairy free 'Oreos'), 2-3 tbsp milk (or dairy free alternative), Extra gluten free and dairy free 'Oreos', 200 g chocolate, 4 tsp vegetable oil","Preheat your oven to 160C Fan / 180C and prepare 3 circular 20cm cake tins with baking paper., Cream together your butter and sugar until light and fluffy., Add your eggs (one at a time), and mix in between each addition., Sift in your gluten free flour, cocoa powder, xanthan gum, baking powder. Fold the mixture so all the dry ingredients are completely combined., Add your melted chocolate, yoghurt and boiling water. Carefully mix together until fully combined., Divide your mixture evenly between your 3 tins and bake four about 20-25 minutes each. Check with a skewer to check they are cooked. I bake two of the sponges and then the third afterwards as I like to bake them all on the middle shelf., Once baked, allow the cakes to cool in their tins., Now to make the buttercream. Place your butter in a stand mixer (or electric hand whisk if you don't have a stand mixer), mix on its own on a high speed for about 5 minutes. The butter should change from a more yellow colour to being a lot more pale., Add your icing sugar in 3-4 stages. Mixing for about 3 minutes between each addition., Blitz or crush your gluten free and dairy free 'Oreos' so that they are really fine., Add your 'Oreo' crumbs to the buttercream and mix together to combine., Add 2-3 tbsp of milk to loosen the buttercream slightly if needed (probably not needed if using dairy free margarine etc), Time to assemble your cake! Place the first sponge onto a cake stand/plate and spread icing on top of it - then add your second sponge on top of that. Spread icing once again and finish by placing your final sponge on top. Don't use up all your icing in between each sponge layer - be modest with it!, Apply a really thin layer of icing (using your plastic icing scraper) all over the outside of your cake - this is the crumb coat. You can achieve this by applying the icing all over and then scraping it off again as much as possible. Place the cake in the fridge for 30 minutes., Once the crumb coat has locked in the crumbs, you can begin applying the icing and scraping it smooth. I do this with a cranked palette knife all over, then scraping it smooth. See the video links in the blog post above for the best ways on how to do this - it's hard to describe purely in writing!, Then make your drip - really simple. Melt your chocolate in the microwave and then thoroughly mix in your oil. Allow to cool a tiny bit (about 5-10 minutes) before using., Using a piping bag, apply your drip around the edge of the top of your cake at around 1 cm intervals. Make each drip a varying length if you can! Then use the rest of your drip to cover the top of the cake., Finish with crushed gluten free 'Oreos' and you're done! Enjoy!","[('butter', 350.0, 'g'), ('caster sugar', 500.0, 'g'), ('eggs', 6.0, None), ('gluten free plain flour', 440.0, 'g'), ('cocoa powder', 50.0, 'g'), ('baking powder', 4.0, 'tsp'), ('xanthan gum', 0.25, 'tsp'), ('yoghurt', 100.0, 'g'), ('dark chocolate', 200.0, 'g'), ('boiling water', 200.0, 'ml'), ('butter', 440.0, 'g'), ('icing sugar', 1000.0, 'g'), ('oreos', 160.0, 'g'), ('milk', 2.0, 'tbsp'), ('chocolate', 200.0, 'g'), ('vegetable oil', 4.0, 'tsp')]"
df4b2f4e,https://www.lavenderandlovage.com/2014/10/a-show-stopping-chocolate-cherry-cake-for-chocolate-week.html,The Famous Drinking Chocolate Cake,"3 ounces (75g) walnuts (some kept whole for decoration and the rest roughly chopped), 5 ounces (150g) SR flour (double sifted), 3 ounces (75g) Galaxy drinking chocolate (or any other drinking chocolate such as Nesquik, Cadbury's etc), 2 teaspoons baking powder, 6 ounces (180g) caster sugar, 7 ounces (200g) soft margarine (I used Stork margarine), 3 large free-range eggs, 3 tablespoons hot water (not boiling), 8 ounces (225g) Galaxy chocolate (broken into pieces, or chocolate of your choice), 4 1/2 fluid ounces (125ml) double cream, 5 ounces (150g) softened butter (unsalted), 8 ounces (225g) icing sugar (double sifted)","Pre-heat oven to 175C/Gas Mark 4. Grease and line two cake tins measuring 20cms/8”. (Or one cake tin of the same diameter, but deeper), Whisk all of the cake ingredients together, except the hot water, until light and fluffy for at least 3 minutes. Then add the hot water and whisk again for 3 minutes until the cake mixture is extremely light and fluffy., Divide the cake mixture between the two prepared cake tins (or one cake tin if using) and bake for 20 to 30 minutes, or until the cakes are firm to touch and well risen. (You can also check by inserting a skewer into the middle of the cakes, and if the skewer is clean when taken out, the cakes are cooked), Allow the cakes to cool in the tin for a few minutes, before carefully turning them out on to a wire cooking rack. Allow to cool completely before filling and icing., Meanwhile, make the icing/frosting. Sit a bowl over a pan of simmering water and add the Galaxy chocolate and cream to the bowl and gently melt, stirring all the time until the chocolate and cream are blended and smooth., Remove the chocolate and cream from the heat, then add the butter to the hot chocolate and cream mixture, stir it until smooth. Sift in half the icing sugar and mix well, add the remaining icing sugar and mix until very creamy and smooth. Set aside to cool until thickened., When you are ready to ice and fill the cakes, spread half of the icing/frosting over one of the cakes, and then place the other cake on top. (If using the walnuts, sprinkle the chopped walnuts over the icing before placing the cake on top), Gently swirl the rest of the icing/frosting over the top of the cake, pipe it on if you wish, and then decorate with walnuts if using. You can also add jam to the filing; cherry jams are lovely, or add some fresh fruit to the filling as well as decorating with fresh fruit on top., Serve in thin slices with tea or coffee.","[('walnuts', 75.0, 'grams'), ('sr flour', 150.0, 'grams'), ('galaxy drinking chocolate', 75.0, 'grams'), ('baking powder', 2.0, 'teaspoons'), ('caster sugar', 180.0, 'grams'), ('soft margarine', 200.0, 'grams'), ('eggs', 3.0, None), ('hot water', 3.0, 'tablespoons'), ('galaxy chocolate', 225.0, 'grams'), ('double cream', 125.0, 'milliliters'), ('butter', 150.0, 'grams'), ('icing sugar', 225.0, 'grams')]"
08604ea4,https://www.lizzielikes.com/2020/05/21/caramalised-pineapple-sponge/,Caramelised Pineapple Sponge,"1 tin pineapple ((separate and set aside the juice)), 6 tbsp carnation caramel drizzle/tinned caramel, 175 g self-raising flour, 150 g caster sugar, 150 g butter ((softened)), 3 tbsp Kirsch ((cherry liqueur))","Preheat the oven to 170°C. Grease the fluted edge of a 10"", loose bottomed flan dish with some butter. Spread the caramel over the bottom of the tin with a spoon., Drain the pineapple and set aside the juice for later. Cover the layer of caramel with 7 pineapple slices, or as many as you can fit on., In a large bowl, cream together the butter and the sugar. Beat in the eggs one at a time - don't worry if it curdles a little, the flour will fix it., Mix in the flour until you have a smooth batter., Carefully spread the cake mixture over the pineapple and caramel layer to the edges of the dish. You need to take care not to move the pineapple pieces out of place or it will ruin the pattern., Bake for 25 minutes and then check. It should be golden brown, and springy to the touch. If you think it needs a little longer, return for 5 more minutes., When you take it out of the oven, set on a place mat and place a plate (that is larger than the flan dish) up side down on top of the flan. Using oven gloves or tea towels to protect your hands, carefully flip the flan dish over and remove the metal. You should now have the cake up side down, so the pineapple shows on top., Leave the cake to cool. Just before serving, mix the pineapple juice and kirsch in a jug, then pour over the cake letting it soak into the sponge., Slice and serve with pouring cream.","[('pineapple', 1.0, 'tin'), ('carnation caramel', 6.0, 'tbsp'), ('self-raising flour', 175.0, 'g'), ('caster sugar', 150.0, 'g'), ('butter', 150.0, 'g'), ('kirsch', 3.0, 'tbsp')]"
ea07fd13,https://tastebotanical.com/rose-and-strawberry-cream-cake/,Rose and Strawberry Cream Cake,"225 g (8 oz) butter (softened), 225 g (8 oz) caster or superfine sugar, 4 eggs, 225 g (8 oz) self-raising flour, 3 tablespoons of milk, 1 teaspoon of vanilla essence, 1 teaspoon of rosewater, Either 4 tablespoons of Strawberry and Rose Geranium Jam or 4 tablespoons of strawberry jam plus a few drops of rosewater, 300 ml (Half a pint) double cream, 2 tablespoons of icing sugar, Crystallised Rose Petals to decorate (optional)","Method: Cake, Set your oven to 180 degrees centigrade, 350 degrees fahrenheit or Gas Mark 4., Cream the butter with the sugar. (I usually soften the butter for about 30 seconds in the microwave first as it makes it much easier!), Gradually add the eggs to the butter and sugar mixture. If it looks as if it is going to curdle, add some of the self-raising flour., Once the eggs have been incorporated add the rest of the self-raising flour., Add the milk, vanilla extract and rosewater., Grease your Victoria Sandwich tins or containers and then add the cake mixture., Bake your cakes in the oven for around 35 minutes. They are done when they are golden brown, springy to the touch and have shrunk away from the edge of the tin. You can test this by inserting a skewer in the middle of the cake – if it comes out cleanly with no mixture attached, your cake is done., Allow your cakes to cool on a rack before removing them from the tins or containers., Method: Filling and topping, Spread the rose-flavoured strawberry jam over the top of one of your cakes., Whip the cream until it forms soft peaks. Spread it on top of the jam. Then place the other cake on top., Put the icing sugar in a sieve and sift it over the top of the assembled cake., Decorate the cake with Crystallised Rose Petals., In the (unlikely) event that there is any cake left over, this needs to be stored in the fridge due to the cream icing. It will keep for a couple of days but, like all sponge cakes, it tastes better when it is freshly made.","[('butter', 225.0, 'g'), ('sugar', 225.0, 'g'), ('eggs', 4.0, None), ('flour', 225.0, 'g'), ('milk', 3.0, 'tablespoons'), ('vanilla essence', 1.0, 'teaspoon'), ('rosewater', 1.0, 'teaspoon'), ('strawberry jam', 4.0, 'tablespoons'), ('cream', 300.0, 'ml'), ('icing sugar', 2.0, 'tablespoons')]"
6fd0879b,https://lolacheriecola.com/blackberry-victoria-sponge-cake/,Blackberry Victoria Sponge Cake,"4 sticks unsalted butter at room temperature, 2 cups granulated sugar, 4 cups cake flour, 4 teaspoons baking powder, ½ teaspoon salt, 8 large eggs at room temperature, 2 teaspoons vanilla extract, 6 tablespoons hot water (as needed), 4 cups very cold heavy whipping cream, 2 tablespoons powdered sugar, 2 10oz jars of blackberry preserves, handmade or store bought., fresh blackberries, for garnish optional, fresh figs for garnish optional)","Preheat the oven to 325 degrees F and line 2 (or 4 if you have that many!) cake pans with parchment paper. In the bowl of a stand up mixer beat the sugar and butter on medium high speed for 3-5 minutes until it's a very pale yellow and light and fluffy., Combine the flour, baking powder, and salt in a medium bowl. Set aside., With the mixer on low speed add an egg in with a spoonful of flour. Repeat this process, adding a spoonful of flour each time, until all the eggs are combined. Make sure to scrape down the sides of the bowl as needed during this process. Add the vanilla and beat once more until combined. Fold in the remaining flour. Remove the mixing bowl from the mixer and pour in the remaining flour. Slowly fold in the flour until combined. Do not overmix or you will end up with a dense cake that isn't airy. The batter will be thick. Add in 5-6 teaspoons of hot water to get it to the right consistency., Divide the batter into the cake pans evenly. If you only have 2 cake pans like me, bake 2 layers first and then repeat with the second 2. Bake the cake layers on the center rack of the oven for 25-30 minutes until the cake is golden brown on top and your finger can't sink into the middle and springs back. Let them cool for 10 minutes and then remove them from the pans and let them cool completely on a wire rack., Add the heavy cream and powdered sugar to the bowl of a stand up mixer. Beat on high until stiff peaks form., Place a layer of the cake down and top with the blackberry jam, around 1/4 inch thick. Top with a thick layer of whipped cream. Repeat with the additional layers. Top the cake with whipped cream and garnish with blackberries or whatever topping you would like. I added figs to the top of mine.","[('butter', 4.0, 'sticks'), ('sugar', 2.0, 'cups'), ('flour', 4.0, 'cups'), ('baking powder', 4.0, 'teaspoons'), ('salt', 0.5, 'teaspoon'), ('eggs', 8.0, 'large'), ('vanilla extract', 2.0, 'teaspoons'), ('water', 6.0, 'tablespoons'), ('cream', 4.0, 'cups'), ('powdered sugar', 2.0, 'tablespoons'), ('preserves', 2.0, 'jars'), ('blackberries', None, None), ('figs', None, None)]"
42cecfcc,https://sallysbakingaddiction.com/lemon-berry-trifle/,Lemon Berry Trifle,"1 9×5-inch loaf lemon pound cake, baked and cooled, 2 cups (480ml) heavy cream, 1/4 cup (50g) granulated sugar, 1 teaspoon pure vanilla extract, 8 ounces (226g) full-fat brick cream cheese, softened to room temperature, 1/2 teaspoon pure vanilla extract, 1 cup lemon curd (homemade or store-bought), at room temperature, 5-6 cups (about 750g) fresh mixed berries (I use blueberries and raspberries), optional: additional berries and lemon slices for garnish","Slice the lemon pound cake into 9 1-inch slices. Cut into bite-sized cubes. Set aside., Make the whipped cream, In a large bowl using a hand mixer or a stand mixer fitted with a whisk attachment, beat the heavy cream, granulated sugar, and vanilla extract together on high speed into stiff peaks, about 3 minutes. Cover and store in the refrigerator until ready to use in step 3., Make the lemon cheesecake layer, In a large bowl using a hand mixer or stand mixer fitted with a paddle or whisk attachment, beat the cream cheese on medium-high speed until creamy. Add the vanilla extract and lemon curd and beat on medium-high speed until combined. Lastly, beat in half of whipped cream (about 2 cups) that you prepared in step 2., Assemble, This trifle has 3 layers of pound cake, 3 layers of berries, and 2 layers of the lemon cheesecake mixture. Begin with a base of lemon pound cake cubes. Top with an even layer of fresh berries, then half of the lemon cheesecake mixture. Repeat. Finish with final layer of lemon pound cake cubes followed by a final layer of berries. Spread or pipe remaining whipped cream on top of the trifle. I used Wilton 1M piping tip to pipe the whipped cream on top., Refrigerate for at least 2 hours and up to 6 hours (see make ahead tip if you wish to store longer). You can refrigerate uncovered for 2-4 hours, but I recommend loosely covering if storing longer than that. The time in the refrigerator gives the flavors a chance to settle and allows the pound cake to soak up some of the lemon cheesecake mixture., Garnish with extra berries and/or lemon slices and serve cold. Cover and store any leftovers in the refrigerator for up to 2-3 days.","[('lemon pound cake', 1.0, None), ('heavy cream', 2.0, 'cups'), ('granulated sugar', 0.25, 'cup'), ('vanilla extract', 1.0, 'teaspoon'), ('cream cheese', 8.0, 'ounces'), ('vanilla extract', 0.5, 'teaspoon'), ('lemon curd', 1.0, 'cup'), ('mixed berries', 5.0, 'cups')]"
682f01e5,https://thebigmansworld.com/death-by-chocolate-cake/,Death By Chocolate Cake,"3 cups all purpose flour (use gluten free, if needed * See notes), 2 cups sugar (white or brown ), 1/4 cup cocoa powder, 1/4 cup dark cocoa powder (also called black cocoa powder ** See notes), 2 teaspoon baking soda, 1 teaspoon espresso powder (optional), 1/2 teaspoon salt, 2 teaspoon vanilla extract, 2 tablespoon vinegar (white or apple cider), 3/4 cup oil (vegetable, canola, or any neutral tasting oil), 2 cups water, 1 cup chocolate frosting","Preheat the oven to 180C/350F. Greast 2 8-inch cake pans generously, before setting aside., In a large mixing bowl, combine your dry ingredients and mix well, until combined. Add your wet ingredients and mix until everything is fully incorporated., Distribute the batter amongst the two cake pans. Bake for 25-27 minutes, or until a skewer comes out clean., Remove the cakes from the oven and allow to cool completely. Once cool, carefully slice them in half so 4 thin cakes remain., Layer the cake by placing the first cake on a flat surface. Cover with frosting, before adding the next layer on top. Repeat until the cake is layered up, before frosting the top of it. Refrigerate for at least 30 minutes, to firm up.","[('flour', 3.0, 'cups'), ('sugar', 2.0, 'cups'), ('cocoa powder', 0.25, 'cup'), ('cocoa powder', 0.25, 'cup'), ('baking soda', 2.0, 'teaspoon'), ('espresso powder', 1.0, 'teaspoon'), ('salt', 0.5, 'teaspoon'), ('vanilla extract', 2.0, 'teaspoon'), ('vinegar', 2.0, 'tablespoon'), ('oil', 0.75, 'cup'), ('water', 2.0, 'cups'), ('chocolate frosting', 1.0, 'cup')]"
431f32ca,https://glutenfreeonashoestring.com/gf-ho-hos/,Gluten Free Swiss Roll Cake Recipe | Chocolate Sponge with Creme Filling,"1/2 cup all purpose gluten free flour blend ((I used Better Batter; please click thru for appropriate flour blends)), 1/4 teaspoon xanthan gum ((omit if your blend already contains it)), 5 tablespoons unsweetened natural cocoa powder, 1 tablespoon cornstarch, 1/4 teaspoon kosher salt, 4 eggs (at room temperature, separated into yolks and whites), 3/4 cup granulated sugar, 6 tablespoons unsalted butter (melted and cooled), 1 tablespoon warm water, Confectioners’ sugar (for rolling), Marshmallow creme ((homemade or store-bought) for filling), 14 ounces semisweet chocolate (chopped), 3 tablespoons virgin coconut oil","Make the cake., Preheat your oven to 350°F. Line a 13-inch x 18-inch x 1-inch rimmed baking sheet (a half-sheet pan) with unbleached parchment paper and set it aside., In a medium-size bowl, place the flour, xanthan gum, cocoa powder, cornstarch and salt, and whisk to combine. Set the dry ingredients aside., In a large bowl, place the egg yolks, 1/2 cup (100 g) of the granulated sugar, the butter, and the water, and whisk vigorously until smooth and pale yellow., Add the dry ingredients to the egg yolk mixture, and whisk to combine. The mixture should be thick but smooth. Set it aside., In the bowl of a stand mixer fitted with the whisk attachment or a large bowl with a hand mixer, place the egg whites and beat on medium-high speed until soft peaks form., Add the remaining 1/4 cup (50 g) of granulated sugar and continue to beat on medium-high speed until glossy peaks form. Add the egg white mixture to the large bowl of egg yolks in two parts., After adding the first part, whisk to combine well. After adding the second part, carefully fold in the remaining egg whites until no white streaks remain. The batter will be fluffy., Pour the batter into the prepared baking sheet and spread into an even layer with a spatula., Lay a flat-weave kitchen towel (a tea towel) flat on a large, clean flat surface and sprinkle it generously with confectioners’ sugar., Place the baking sheet in the center of the preheated oven and bake for 12 to 14 minutes, or until the cake springs back when pressed gently., Remove the cake from the oven and, working quickly, immediately turn the warm cake onto the center of the prepared tea towel., Carefully remove the parchment paper from what was the underside of the cake. You now have a bare cake on a sugared tea towel., Fold the exposed ends of the tea towel over the cake and roll it tightly away from you, with the towel., Place the cake, as coiled in the towel, on a wire rack to cool completely (about 1 hour)., Once the cake has cooled, unroll it on a flat surface and spread the marshmallow creme filling on top of the cake, leaving a 1/2-inch clean border all around the cake. Reroll the cake tightly and place seam-side down, on a wire rack., Prepare the glaze topping., Place the chopped chocolate and virgin coconut oil in a small, heat-safe bowl. Melt the chocolate either in the microwave in 30-second bursts, stirring well in between, until melted and smooth or in a double boiler., Allow the chocolate to sit at room temperature briefly until it begins to thicken a bit., Pour the glaze over the top of the cake on the wire rack. Allow the glaze to set at room temperature before slicing and serving.","[('gluten free flour blend', 0.5, 'cup'), ('xanthan gum', 0.25, 'teaspoon'), ('unsweetened cocoa powder', 5, 'tablespoons'), ('cornstarch', 1, 'tablespoon'), ('kosher salt', 0.25, 'teaspoon'), ('eggs', 4, None), ('granulated sugar', 0.75, 'cup'), ('unsalted butter', 6, 'tablespoons'), ('warm water', 1, 'tablespoon'), ('marshmallow creme', None), ('semisweet chocolate', 14, 'ounces'), ('virgin coconut oil', 3, 'tablespoons')]"
0a6e3ac2,https://glutenfreecuppatea.co.uk/2017/08/21/gluten-free-hummingbird-cake-recipe-low-fodmap-dairy-free/,Gluten Free Hummingbird Cake Recipe (dairy free),"250g pecans, 370g gluten free plain flour, 1 tsp bicarbonate of soda, 1 1/2 tsp cinnamon, 1/2 tsp allspice, 220g tinned pineapple ((drained and finely chopped)), 200g light brown sugar, 150g caster sugar, 4 ripe bananas ((mashed)), 3 large eggs (room temp), 160ml vegetable oil, 2 tsps vanilla extract, 150g dairy free spread (room temp), 340g dairy free cream cheese (I use Tofutti (room temp)), 750g - 850g icing sugar (yes this seems a lot but it's a 3 tiered cake, & I prefer to have more than less!), 1/2 tsp vanilla extract","Firstly bake your pecans in the oven - spread on a baking sheet and place in the oven at 160C (fan) for 8 - 10 minutes. Once done, allow to cool and then break up into smaller pieces by hand., Prepare your tins. Grease and line 3 round cake tins with parchment paper., Preheat the oven to about 180C (fan)., Mix together your dry ingredients in a large mixing bowl. So that's the flour, bicarbonate of soda, cinnamon and allspice., In another separate bowl, whisk together the rest of your 'wet' ingredients (mashed banana, pineapple, eggs, oil, brown sugar, granulated sugar and vanilla)., Gradually pour your 'wet' ingredients into your dry mixture and whisk together until completely combined. (This is a lot of mixture so really ensure you get right down to the bottom of the bowl when mixing!), Fold in 170g of your pecan nut pieces into the cake mixture and save the rest until later., Evenly spoon the cake mixture into your 3 cake tins and bake for 25 - 30 minutes, until a skewer comes out clean., Allow the cakes to completely cool, then remove from their tins., In the mean time, make your icing. Beat your dairy free spread until a little smooth and creamy., Add your dairy free cream cheese and vanilla extract. Mix until smooth again (you could use an electric hand mixer here)., Gradually add your sifted icing sugar. I add around 200g at a time and mix it in. The cream cheese mixture will absorb all the icing sugar each time. Continue to add icing sugar until it's the right consistency for you (the icing will firm up once you have iced the cake and refrigerated it so it doesn't have to be really stiff)., To assemble your gluten free Hummingbird Cake, place the first cake tier on your serving plate and spread with cream cheese icing. Sandwich the second cake tier and repeat with the icing. Finally sandwich your top tier for the triple layer!, Spread the rest of the icing all over the top and sides of the cake with a palette knife until it's completely covered. (if it looks messy at first, don't worry - mine did!!, Then, using an icing scraper (or just a palette knife with a long, straight edge) scrape off all the icing from the sides until it looks like it does in the photos. Use your palette knife to evenly spread a thin layer of icing on top., Sprinkle your leftover pecan nut pieces on top to decorate., I like to chill a little before serving to help the icing set, but then it's ready to serve, enjoy!","[('pecans', 250.0, 'g'), ('plain flour', 370.0, 'g'), ('bicarbonate of soda', 1.0, 'tsp'), ('cinnamon', 1.0, 'tsp'), ('allspice', 0.5, 'tsp'), ('pineapple', 220.0, 'g'), ('light brown sugar', 200.0, 'g'), ('caster sugar', 150.0, 'g'), ('bananas', 4.0, None), ('eggs', 3.0, None), ('vegetable oil', 160.0, 'ml'), ('vanilla extract', 2.0, 'tsps'), ('dairy free spread', 150.0, 'g'), ('dairy free cream cheese', 340.0, 'g'), ('icing sugar', 750.0, 'g'), ('icing sugar', 850.0, 'g'), ('vanilla extract', 0.5, 'tsp')]"
