ID,URL,Recipe Name,Ingredients,Instructions,Processed Ingredients
e87234f6,https://www.elmundoeats.com/en/how-to-make-tart-shells-sweet-and-savoury/,How To Make Tart Shells (Sweet And Savoury),"['▢⅓cupunsalted butter(75g), softened', '▢2tablespoonsugar', '▢1egg yolk, room temperature', '▢1teaspoonvanilla extract', '▢1cupall purpose flour(130g)']","['Add butter and sugar into a bowl. Using a spatula, mix everything together. Now add in egg yolk and vanilla extract. Continue mixing. Finally add in flour and bring everything together into a dough.', ""Cover with cling film and chill in the fridge for 30 minutes or until it's manageable."", ""Take a piece of dough and press it evenly into a 2.5 inch (6.5 cm) tart mould. Cut off excess dough with a knife. Using a fork, prick the base so that it doesn't puff up while baking. Repeat the same with the rest of the dough. Place them on a baking tray. Place them in the freezer for 10 minutes."", ""Bake in a preheated oven at 340ºF (170ºC) , using upper and lower heat, on the lowest rack for 20 minutes. Remove from the oven and leave to cool completely. Once cooled, remove the shells from the moulds by flipping them and tapping a bit on the back of the back of the base to help releasing them. They're ready to be used!""]","[('butter', 75.0, 'g'), ('sugar', 2.0, 'tablespoons'), ('egg yolk', 1.0, None), ('vanilla extract', 1.0, 'teaspoon'), ('all purpose flour', 130.0, 'g')]"
72111ac8,https://insanelygoodrecipes.com/tart-recipes/,30 Delicious Tart Recipes You Will Love (Sweet & Savory),"['Lemon Tart with a Buttery Shortbread Crust', 'Mini Strawberry Tarts', 'Fresh Peach Tart', 'Cornflake Tart', 'Apple Tarte Tatin', 'Raspberry Chocolate Tart', 'Basque Apple Tart', 'Apple Frangipane Tart', 'Limoncello Lemon Tart', 'Portuguese Custard Tarts, or Pasteis de Nata', 'Traditional Treacle Tart', 'Cranberry Gingersnap Pie', 'Salted Caramel and Peanut Chocolate Tart Recipe', 'French Pear Tart Recipe', 'Plum Tart', 'Vanilla Custard Tarts with Fresh Raspberries', 'Nutella Tart with Toasted Hazelnut Crust', 'Easy Banoffee Pie', 'Pineapple Tarts', 'Vegan Eggnog Custard Tart', 'Cherry Bakewell Blondies', 'Bacon and Onion Tarts', 'Pomegranate Cream Tart', 'Butternut Squash & Mushroom Tart', 'Blackberry Tart', 'Strawberry Tart with Orange Cream', 'French Apricot Tart Recipe | Tarte Aux Abricot', 'Tomato Basil Tart', 'Tomato Tart with Puff Pastry', 'Vegan Chocolate Orange Tart with Candied Kumquats']","['Select your favorite recipe.', 'Organize all the required ingredients.', 'Prep a delicious recipe in 30 minutes or less!']","[('lemon', None, None), ('strawberry', None, None), ('peach', None, None), ('cornflake', None, None), ('apple', None, None), ('raspberry', None, None), ('basque', None, None), ('frangipane', None, None), ('limoncello', None, None), ('portuguese', None, None), ('treacle', None, None), ('cranberry', None, None), ('salted', None, None), ('peanut', None, None), ('chocolate', None, None), ('french', None, None), ('pear', None, None), ('nutella', None, None), ('banoffee', None, None), ('pineapple', None, None), ('vegan', None, None), ('eggnog', None, None), ('cherry', None, None), ('bakewell', None, None), ('bacon', None, None), ('onion', None, None), ('pomegranate', None, None), ('butternut', None, None), ('mushroom', None, None), ('blackberry', None, None), ('orange', None, None), ('apricot', None, None), ('tomato', None, None), ('basil', None, None), ('puff', None, None), ('vegan', None, None), ('chocolate', None, None), ('orange', None, None), ('candied', None, None)]"
621787c5,https://italianfoodforever.com/2012/09/savory-harvest-grape-tart/,Sweet & Savory Grape Harvest Tart,"['2 Tablespoons Olive OIl', '1 Medium Onion, Peeled & Chopped', '1/2 Cup Chopped Pancetta', '3 Garlic Cloves, Peeled & Minced', '1 Cup Purple Seedless Grapes, Halved', '1 Cup White Seedless Grapes, Halved', '1 Teaspoon Chopped Fresh Thyme', '6 Fresh Sage Leaves, Sliced Thin', '2 Tablespoons All-purpose Flour', '3/4 Cup Ricotta Cheese', '1 (4 Ounce) Log Goat Cheese', 'Salt & Pepper', 'Puff Pastry - Either Homemade or Store Bought']","['Preheat oven to 350 degrees F.', 'In a frying pan, heat the oil and cook the onions until translucent.', 'Add the pancetta and cook until lightly browned.', 'Add the garlic and cook another minute or two until fragrant.', 'Add the chopped thyme and sage and set aside to cool.', 'Roll out the puff pastry to form a 15 X 20 inch rectangle (or two smaller rectangles) and place on a parchment lined baking sheet.', 'Add the grapes and flour to the onion mixture and mix well.', 'In a small bowl, mix together the ricotta cheese and goat cheese and season with salt and pepper to taste.', 'Use a spoon to spread the goat cheese mixture evenly over the pastry shell, leaving a 1 inch border all around.', 'Spoon the grape mixture evenly over the ricotta and carefully fold the 1 inch border over towards the filling.', 'In a cup, beat together the egg and water and then brush the border edges.', 'Bake until puffy and golden brown, about 25 minutes.', 'Let tart cool to room temperature and then cut into slices or squares.']","[(""olive oil"", 2.0, ""tablespoons""), (""onion"", 1.0, ""medium""), (""pancetta"", 0.5, ""cup""), (""garlic cloves"", 3.0, None), (""purple grapes"", 1.0, ""cup""), (""white grapes"", 1.0, ""cup""), (""fresh thyme"", 1.0, ""teaspoon""), (""fresh sage leaves"", 6.0, None), (""all-purpose flour"", 2.0, ""tablespoons""), (""ricotta cheese"", 0.75, ""cup""), (""goat cheese"", 1.0, ""log""), (""salt"", 1.0, None), (""pepper"", 1.0, None), (""puff pastry"", 1.0, None)]"
8fe0227e,https://nicolestastingspoon.com/strawberry-pop-tart-pastry/,Puff Pastry “Pop Tarts” (Sweet or Savory),"['16ozButterdivided', '14ozAll Purpose Flour+ some for the counter', '¾TBSPSalt', '7ozIce Cold Water', '1lbFruit or Savory of Your Choicesee blog notes', '½Lemon', '6TBSPApricot Jam (for Fruit Pastry Only)see blog notes; divided', '1Egg', '2TBSPWaterdivided']","['Divide the butter, you will need 13oz of butter which is 3- 4 oz sticks plus 2 TBSP, let the butter come up to just-about room temperature. It should still be firm.Set the remainder 3oz of butter aside.', 'On a sheet of parchment paper, unwrap the butter and lay the sticks side by side so that they touch. In the center of your square of butter, add the 2 TBSP of butter on top.', 'Cover your butter with another sheet of parchment paper. Using a rolling pin, you will gently hit the top of the butter until it starts to form a homogenous square.', 'To keep the shape you will want to use your hands, rolling pin or a bench scraper to push the sides of the butter back into a square shape.', 'The goal is to have your butter in a even square/rectangle shape that is between ¼ and ⅓ inch thick.', ""Once your butter is formed, wrap it up in your parchment paper and place it back into the refrigerator so that it can firm up in it's new shape while you make the dough.""]","[('butter', 16.0, 'oz'), ('all purpose flour', 14.0, 'oz'), ('salt', 0.75, 'tbsp'), ('ice cold water', 7.0, 'oz'), ('fruit or savory', 1.0, 'lb'), ('lemon', 0.5, None), ('apricot jam', 6.0, 'tbsp'), ('egg', 1.0, None), ('water', 2.0, 'tbsp')]"
d8a2372c,https://www.andiemitchell.com/sweet-and-savory-medjool-date-bacon-and-brie-tarts-recipe/,Andie Mitchell,"['1package frozen mini fillo shells15 (I use Athens brand)', '3slicesbacon', '3ouncesbrie cheesecut evenly into 15 small pieces', '4Natural Delights Medjool Datespitted and chopped into ¼-inch pieces', '1ounceblue cheesecrumbled (¼ cup)', '2tablespoonsfinely chopped fresh basil']","['Preheat the oven to 350°F. Remove the mini fillo shells from the freezer and allow to thaw for 10 minutes before baking (but not longer than 10 minutes). Arrange them on a large, rimmed baking sheet in an even, single layer.', 'In a large skillet, cook the bacon over medium-high heat until crisp, about 6 minutes. Transfer to a paper towel-lined plate to drain.', 'Divide the brie, chopped dates, and blue cheese evenly among the 15 mini fillo shells. Crumble the bacon and divide among the shells. Bake the filled fillo shells until the brie is melted and the fillo pastry is crisp and flaky, 5 to 7 minutes. Sprinkle with chopped basil and serve immediately.']","[('fillo shells', 1.0, 'package'), ('bacon', 3.0, 'slices'), ('brie cheese', 3.0, 'ounces'), ('medjool dates', 4.0, 'pieces'), ('blue cheese', 1.0, 'ounce'), ('basil', 2.0, 'tablespoons')]"
c099833c,https://cookingwithayeh.com/upside-down-puff-pastries/,Upside Down Puff Pastries,['▢1puff pastry sheet'],"['Preheat the oven to 200℃/400℉ and line a baking tray with a sheet of parchment paper.', 'Cut the puff pastry sheet into 4 even squares and spread a teaspoon of pesto on the middle of the savory squares, leaving a border around them', 'Italian- Add\xa02 teaspoons of the parmesan cheese to the parchment paper in a rectangle shape then place a sun dried tomato directly on top of the cheeseApple Pie- Add a teaspoon of the honey to the other side of the parchment paper in a rectangle shape. place half of the slices directly on top of the honey, overlapping them in a rectangular row. Sprinkle the apple with cinnamon and drizzle over half a teaspoon of honey', 'Place the puff pastry square on top of the ingredients. Using your fingers, gently press the pastry around the filling to remove any air. Using a fork, press the sides of the pastry around all the edges to seal it closedRepeat the above step for the remaining half of the ingredients on the other side of the baking sheet, leaving room in between them', 'Bake in the oven for 8-10 minutes until the puff pastry has risen and is golden and crispy.  Then using a spatula, flip over the puff pastriesGarnish the apple pie puff pastries with a dusting of icing sugarGarnish the Italian puff pastries with a heaped spoon of cheese, olive oil, basil leaves and red pepper flakes. Enjoy your upside down puff pastries!']","[('puff pastry', 1.0, 'sheet')]"
0d5e323d,https://lepetiteats.com/savory-apple-thyme-tart/,Le Petit Eats,"['1batch store bought or home made pie dough1 roll of store bought pie dough is enough for two individual 6 inch tarts', '1tablespoonunsalted butter', '1tablespoonolive oil', '1small yellow onionsliced into thin rings', '½cupcrème fraîche', '1teaspoonDijon mustard', '1cupshredded Gruyere cheese', '½tablespoonfresh thyme leaveschopped, plus more for garnish', '1applecored and thinly sliced', 'Salt and freshly ground pepper']","['On a lightly floured surface, roll out the dough and press into two six-inch tart pans, trimming off excess. Refrigerate until firm, about 30 minutes.', 'Preheat oven to 375°. Line the dough with parchment paper and top with pie weights or dried beans. Bake for 20 minutes. Remove the parchment and weights. Continue baking until the crust is golden brown and crisp, about 10 minutes more.', 'Transfer tart pans to a wire rack and let cool slightly. Reduce the oven temperature to 350°.', 'Meanwhile, make the filling: In a skillet over medium heat, melt the butter with the olive oil and swirl the pan to combine. Add the onions and cook until lightly browned and starting to caramelize, about 8 minutes per side. Remove from heat.', 'In a small bowl, stir together the crème fraîche and mustard and spread evenly over the crust. Sprinkle with half of the cheese and the thyme. Arrange the apple slices and onions on top. Sprinkle with the remaining cheese and season with salt and pepper.', 'Bake on the top oven rack until the pastry is golden and the cheese is melted, about 15 minutes. Let cool for 10 minutes, then garnish with thyme, cut into slices and serve.']","[('pie dough', 1.0, 'batch'), ('butter', 1.0, 'tablespoon'), ('olive oil', 1.0, 'tablespoon'), ('onion', 1.0, 'small'), ('crème fraîche', 0.5, 'cup'), ('dijon mustard', 1.0, 'teaspoon'), ('gruyere cheese', 1.0, 'cup'), ('thyme leaves', 0.5, 'tablespoon'), ('apple', 1.0, None), ('salt', 1.0, None), ('pepper', 1.0, None)]"
92349776,https://sweetsavoryandsteph.com/light-caramelized-onion-and-spinach-crustless-quiche/,Light Caramelized Onion and Spinach Crustless Quiche,"['4eggs', '1cupsegg whites', '1/4cupplain non-fat Greek yogurt', '1/2tspkosher salt', '1tspgarlic powder', '1cupButter-less Caramelized Onions,recipe on my blog, linked in body of blog post', '16ozfrozen spinach', '1tspherbs de Provence,or Italian seasoning', 'fresh cracked pepper', '2tbspchives,fresh; chopped', '2ozreduced fat mozzarella,shredded']","['Preheat the oven to 375F.', 'Defrost the spinach\xa0and squeeze out all excess water.', 'In a mixing bowl, combine the eggs, egg whites, yogurt, and spices.', 'Whisk to combine.', 'Then add in the caramelized onions\xa0and spinach and 1 oz of the cheese.', 'Spray a pie plate or tart pan with nonstick spray and pour the mixture in.', 'Top with the remaining 1 oz cheese.', 'Bake for 35-45 minutes or until set up.', 'Allow to cool before slicing into 4 portions.']","[('eggs', 4.0, None), ('egg whites', 1.0, 'cup'), ('plain non-fat greek yogurt', 0.25, 'cup'), ('kosher salt', 0.5, 'tsp'), ('garlic powder', 1.0, 'tsp'), ('butter-less caramelized onions', 1.0, 'cup'), ('frozen spinach', 16.0, 'oz'), ('herbs de provence', 1.0, 'tsp'), ('fresh cracked pepper', None, None), ('chives', 2.0, 'tbsp'), ('reduced fat mozzarella', 2.0, 'oz')]"
45a9a725,https://www.theperksofbeingus.com/sweet-savory-boursin-mini-pecan-tarts/,Pecan & Boursin Savory Tarts with Puff Pastry,"['1sheet Pastry', '3tablespoonsPearson Farms Pecan Pieces', 'Spray oil', '5.2ouncepackage of Garlic Herb Boursin Cheese', '3tablespoonsPearson Farms Peach Pepper Jelly', '1tablespoonof minced chives']","['Thaw puff pastry in fridge overnight, or on the counter with a towel over it for 20 minutes.1 sheet Pastry', 'Pre-heat oven to 400 F.', 'Add the pecan pieces to a skillet and lightly toast for about 2 minutes, watching and staring with a wooden spoon to avoid buying them. Pecans have a high oil content, and can go from fine to burnt in a matter of seconds. (Trust me, I know from experience!) Immediately pull the pecans off the heat and pour into a bowl or onto a piece of foil to cool.3 tablespoons Pearson Farms Pecan Pieces', 'Spray the inside of mini tart form pan with spray oil. We have an 8 mini tart pan, but they come in different varieties. This recipe will make about 9 tarts.Spray oil', 'Using a circle biscuit cutter that will give you a round that will fit into the tart pan, start to cut out rounds out of the puff pastry. You can also just cut the puff pastry into 9 even squares. They will just have a slightly different look.1 sheet Pastry', 'Push the pastry pieces down into the oiled tins with a wooden bar tool, or your fingers. Once this is done for all the tarts, you are ready for the next ingredients.', 'Now it is time to add a bit of the Boursin cheese into each tart. Divide the cheese out into each tart, about 1 teaspoon a piece. Since the cheese is so hard to measure, just use your fingers to put it into the pastry.5.2 ounce package of Garlic Herb Boursin Cheese', 'Next, it is time to put a bit of the jelly over the cheese just enough to cover. Now top with a generous abount of the toasted pecans. Lastly, top the pecans off with another bit of the jelly.3 tablespoons Pearson Farms Peach Pepper Jelly', 'At this point, pop the into the freezer for about 2o minutes. This is key to having the puff pastry puff up! Bake them for 10 minutes, and turn. Bake for 8 minutes and check. Ovens vary, so it may take a total of 28-30 minutes to see them puff up. You may need to tent them half way with foil if the tops are getting brown.', 'Bring tarts out and allow to cool for about 10 minutes, and then using a butter knife, circle around the outside of them, and pop them out onto a serving tray. If you are making them in advance, still do this part, as if they set up, they may stick to the tin. You may also use mini tart liners if you wish.', 'Before serving, sprinkle minced chives over the tops. Enjoy!1 tablespoon of minced chives']","[('pastry', 1.0, 'sheet'), ('pecan pieces', 3.0, 'tablespoons'), ('spray oil', None), ('garlic herb boursin cheese', 5.2, 'ounce'), ('peach pepper jelly', 3.0, 'tablespoons'), ('chives', 1.0, 'tablespoon')]"
e96d3218,https://www.pantrymama.com/sourdough-pie-crust/,Sourdough Pie Crust [sweet or savory sourdough pastry],"['▢250gAll Purpose Flour', '▢5gSalt(or to taste)', '▢10gSugar(optional - see notes)', '▢230gUnsalted Buttermust be COLD', '▢200gSourdough Starteror Sourdough Discard', '▢10gWhite Vinegaror Apple Cider Vinegar', '▢50gIced Waterjust in case']","['This dough makes enough pastry for a top and bottom crust. If only need the top or bottom, just halve the amounts listed.', 'Add all purpose flour, salt and sugar to a large mixing bowl and stir together until well combined. Set aside for now.', 'Grate the cold butter into a bowl. If the butter starts to melt or is very soft once grated, place the bowl into the freezer. This will help to firm the butter up and make the next step much easier. I cannot stress enough how important it is for the butter to be COLD.', 'Place the cold, grated butter into the bowl with the flour, salt and sugar and use a spatula, pastry cutter or simply your finger tips to coat the butter in the flour. You want the butter to stay cold, so try to touch it as little as you can.', ""Now, add the sourdough starter or discard and vinegar and bring the mixture into a dry, shaggy dough. It's best just to use your hands to squeeze the pastry dough together. It will be a rough, dry dough.If the dough really isn't coming together at all, add a little iced water until you are able to bring it together."", ""Tip the rough dough out onto the counter, divide the dough into two pieces and bring each piece into a rough ball. Wrap each ball of pastry dough in parchment paper and squash it down into a disc shape. Wrap each disc in cling wrap and place both discs into the fridge.If you prefer to just refrigerate as one ball, that's fine too. You can just divide the pastry into two pieces when you want to roll it out."", 'Leave the dough a minimum of one hour to fully hydrate and become cold. You can leave the dough in the fridge for up to 48 hours before you use it.', 'When you are ready to use the sourdough pastry to make a pie crust, take the dough out of the fridge and unwrap it. Dust the dough lightly with flour and use a rolling pin to roll the dough out to your desired size.This recipe makes enough for a top and bottom crust. I have used a 1.4L pie dish and it generously filled the dish with some to spare.']","[('flour', 250.0, 'g'), ('salt', 5.0, 'g'), ('sugar', 10.0, 'g'), ('butter', 230.0, 'g'), ('starter', 200.0, 'g'), ('vinegar', 10.0, 'g'), ('water', 50.0, 'g')]"
