2024-05-29 12:48:25,723 - cauldron - INFO   - main.py      - >> Cauldron Functional Demo <<
2024-05-29 12:48:26,008 - cauldron - INFO   - cauldron_app.py - Initializing Cauldron Application
2024-05-29 12:48:26,010 - cauldron - INFO   - langchain_util.py - Initializing SQLAgent with model: gpt-4, db_path: sqlite:///sql/recipes_0514_1821.db, verbose: True
2024-05-29 12:48:26,176 - cauldron - INFO   - langchain_util.py - Creating SQL Agent with model: gpt-4 and database: <langchain_community.utilities.sql_database.SQLDatabase object at 0x000001C508DAA270>
2024-05-29 12:48:30,169 - cauldron - INFO   - langchain_util.py - SQL Agent created successfully.
2024-05-29 12:48:30,175 - cauldron - INFO   - langchain_util.py - SQLAgent initialized successfully.
2024-05-29 12:48:30,176 - cauldron - INFO   - cauldron_app.py - SQL Agent Initialized
2024-05-29 12:48:30,177 - cauldron - INFO   - langchain_util.py - Initializing ChatBot with model: gpt-4, prompt: blake-goodwyn/cauldron-assistant-v0, temperature: 0.0
2024-05-29 12:48:30,177 - cauldron - INFO   - langchain_util.py - Creating chatbot with model: gpt-4, prompt: blake-goodwyn/cauldron-assistant-v0, temperature: 0.0
2024-05-29 12:48:36,494 - cauldron - INFO   - langchain_util.py - Chatbot created successfully.
2024-05-29 12:48:36,495 - cauldron - DEBUG  - langchain_util.py - Creating StrOutputParser instance.
2024-05-29 12:48:36,496 - cauldron - INFO   - cauldron_app.py - UI Agent Initialized
2024-05-29 12:48:36,497 - cauldron - INFO   - interactive_demo.py - Initializing Functional Demo Application
2024-05-29 12:48:36,498 - cauldron - INFO   - interactive_demo.py - Serial Port and ADC Constants Initialized
2024-05-29 12:48:37,942 - cauldron - INFO   - interactive_demo.py - Voice Interface Initialized
2024-05-29 12:48:37,943 - cauldron - INFO   - interactive_demo.py - Grid Layout Initialized
2024-05-29 12:48:37,950 - cauldron - INFO   - interactive_demo.py - Text Interaction Components Initialized
2024-05-29 12:48:37,952 - cauldron - INFO   - interactive_demo.py - Transcription Components Initialized
2024-05-29 12:48:37,957 - cauldron - ERROR  - interactive_demo.py - Error opening serial port: could not open port 'COM4': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)
2024-05-29 12:48:37,958 - cauldron - WARNING - interactive_demo.py - Serial connection could not be established.
2024-05-29 12:48:37,959 - cauldron - INFO   - main.py      - Cauldron Functional Demo Initialized
